# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
0 46.0245 864.046025 0.000000 1.30900002 128.000000 21.919067 127.899994 0.000000 0.000000
1 175.2906 864.221315 0.000000 1.30900002 128.000000 21.863396 127.900002 0.000000 0.000000
2 213.5936 864.434909 0.002747 1.30900002 128.000000 21.744139 127.900009 0.000000 0.000000
3 143.6739 864.578583 0.000000 1.30900002 128.000000 21.690523 127.900040 0.000000 0.000000
4 158.9770 864.737560 0.000000 1.30900002 128.000000 21.703295 127.900055 0.000000 0.000000
5 515.2580 865.252818 0.000000 1.30900002 128.000000 21.724695 127.900055 0.000000 0.000000
6 182.4519 865.435270 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
7 154.5206 865.589790 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
8 215.3438 865.805134 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
9 18.5005 865.823634 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
10 12.5116 865.836146 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
11 9.4508 865.845597 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
12 3.6880 865.849285 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
13 8.2844 865.857569 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
14 9.5541 865.867123 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
15 9.2559 865.876379 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
16 6.2818 865.882661 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
17 8.3093 865.890970 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
18 13.4115 865.904382 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
19 11.6964 865.916078 0.000000 1.30900002 128.000000 21.725426 127.900047 0.000000 0.000000
20 0.6391 865.916717 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
21 9.3443 865.926062 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
22 6.5498 865.932611 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
23 8.3496 865.940961 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
24 8.2911 865.949252 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
25 8.3777 865.957630 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
26 10.7810 865.968411 0.000000 1.30900002 128.000000 21.725426 127.900047 0.000000 0.000000
27 11.0050 865.979416 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
28 3.1463 865.982562 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
29 8.3220 865.990884 0.000000 1.30900002 128.000000 21.725430 127.900055 0.000000 0.000000
30 28.8477 866.019732 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
31 22.4610 866.042193 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
