# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
# DECIMATED 1:10 from the raw DFN_FRAME_LOG (the run presented ~1150 frames/s,
# so this keeps ~115 samples per second against a 60 Hz simulation tick --
# every tick is still sampled about twice, and the quantity claimed from this
# file is a SUSTAINED DISPLACEMENT (mm of eye travel) plus the SHAPE of a
# 0.15 s ramp, neither of which decimation can hide. It is NOT a per-frame
# meander like docs/FINDING_RUN_SMEAR.md, where every frame had to be kept.
0 7.1038 864.007104 0.000000 1.30900002 128.000000 21.925941 128.000000 0.000000 0.000000
10 157.6403 865.333634 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
20 1.2082 865.712253 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
30 1.0601 865.729935 0.000000 1.30900002 128.000000 21.725426 127.900047 0.000000 0.000000
40 1.4089 865.751396 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
50 0.5877 865.777129 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
60 0.9319 865.788856 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
70 0.7751 865.798248 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
80 0.8403 865.814648 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
90 0.8475 865.831462 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
100 1.8955 865.939046 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
110 0.8215 865.947325 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
120 0.7907 865.963235 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
130 0.7400 865.981341 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
140 0.7594 866.012543 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
150 0.8765 866.029772 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
160 0.9946 866.049122 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
170 0.7162 866.066317 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
180 0.7335 866.081834 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
190 0.7700 866.090416 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
200 0.6785 866.099298 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
210 0.7553 866.116940 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
220 0.6552 866.145436 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
230 0.6858 866.164597 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
240 0.7954 866.181766 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
250 0.9092 866.199984 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
260 11.1974 866.228199 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
270 0.7839 866.236575 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
280 1.4271 866.245151 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
290 0.6828 866.265186 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
300 0.6630 866.283861 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
