# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
# DECIMATED 1:10 from the raw DFN_FRAME_LOG (the run presented ~1150 frames/s,
# so this keeps ~115 samples per second against a 60 Hz simulation tick --
# every tick is still sampled about twice, and the quantity claimed from this
# file is a SUSTAINED DISPLACEMENT (mm of eye travel) plus the SHAPE of a
# 0.15 s ramp, neither of which decimation can hide. It is NOT a per-frame
# meander like docs/FINDING_RUN_SMEAR.md, where every frame had to be kept.
0 8.7708 864.008771 0.000000 1.30900002 128.000000 21.925941 128.000000 0.000000 0.000000
10 150.4361 865.330441 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
20 1.6442 865.681856 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
30 0.9191 865.699260 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
40 1.4722 865.714603 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
50 0.8075 865.733891 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
60 0.5598 865.759277 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
70 1.6112 865.768451 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
80 0.8529 865.776538 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
90 0.5406 865.793284 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
100 0.5444 865.810459 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
110 20.2757 865.865179 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
120 0.7269 865.922699 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
130 1.5613 865.932126 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
140 1.5228 865.948497 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
150 0.7488 865.967283 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
160 1.6026 865.997945 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
170 0.8214 866.015821 0.000000 1.30900002 128.000000 21.725426 127.900047 0.000000 0.000000
180 0.6089 866.045140 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
190 0.6155 866.060741 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
200 0.6866 866.069839 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
210 0.7017 866.078210 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
220 1.3735 866.097233 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
230 0.8366 866.116176 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
240 0.6489 866.146614 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
250 1.3986 866.164859 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
260 0.6906 866.183394 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
270 10.7672 866.211445 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
280 0.6040 866.220262 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
290 0.7492 866.228386 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
300 0.7202 866.248692 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
310 11.1228 866.278494 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
320 0.5886 866.299057 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
330 0.6959 866.316073 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
340 0.7984 866.333829 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
350 0.5807 866.363823 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
360 0.7762 866.373811 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
370 0.8585 866.382488 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
380 0.6687 866.399712 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
390 0.5466 866.428608 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
400 0.7848 866.447032 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
