# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
# DECIMATED 1:10 from the raw DFN_FRAME_LOG (the run presented ~1150 frames/s,
# so this keeps ~115 samples per second against a 60 Hz simulation tick --
# every tick is still sampled about twice, and the quantity claimed from this
# file is a SUSTAINED DISPLACEMENT (mm of eye travel) plus the SHAPE of a
# 0.15 s ramp, neither of which decimation can hide. It is NOT a per-frame
# meander like docs/FINDING_RUN_SMEAR.md, where every frame had to be kept.
0 6.2377 864.006238 0.000000 1.30900002 128.000000 21.925941 128.000000 0.000000 0.000000
4 10.6504 864.022544 0.000000 1.30900002 128.001846 21.924980 127.964790 0.018463 0.000000
8 140.3200 864.612772 5.999242 1.37878239 129.250763 21.655184 126.357773 1.087322 0.000000
12 173.1127 865.459229 3.465342 1.40015721 131.230225 22.003466 126.293457 1.670540 0.000000
16 0.2093 865.478979 4.519698 1.39804065 131.312378 22.045349 126.294456 1.671042 0.000000
20 9.9132 865.541107 6.000067 1.39925039 131.662598 22.065868 126.305008 1.672147 0.000000
24 0.1765 865.582982 6.000067 1.40113986 131.913422 22.008602 126.328461 1.672218 0.000000
28 3.7577 865.593809 6.000067 1.40158176 131.978195 21.871986 126.335175 1.672218 0.000000
32 15.7217 865.618582 5.992780 1.40254486 132.126266 21.691483 126.351257 1.672218 0.000000
36 3.5242 865.632767 5.992780 1.40305388 132.210876 21.697224 126.361023 1.672219 0.000000
40 0.1486 865.643993 5.992780 1.40343595 132.277802 21.702642 126.369110 1.672218 0.000000
44 0.1553 865.658544 5.992780 1.40391409 132.364502 21.710232 126.379860 1.672217 0.000000
48 3.0191 865.666911 5.992780 1.40418231 132.414337 21.714809 126.386154 1.672217 0.000000
52 3.2568 865.678285 5.992780 1.40452766 132.482040 21.721392 126.395020 1.672217 0.000000
56 12.2008 865.697206 5.992780 1.40507936 132.594650 21.732380 126.410141 1.672216 0.000000
60 10.6102 865.711787 5.992780 1.40547979 132.681366 21.740551 126.422134 1.672215 0.000000
64 2.3467 865.718180 5.986544 1.40565050 132.719376 21.744135 126.427460 1.672215 0.000000
68 3.3760 865.729877 5.986544 1.40594542 132.788834 21.750881 126.437370 1.672214 0.000000
72 2.0336 865.738736 5.986544 1.40616131 132.841415 21.755556 126.444954 1.672213 0.000000
76 1.9527 865.747332 5.986544 1.40636635 132.892456 21.759830 126.452362 1.672212 0.000000
80 0.1528 865.759298 5.986544 1.40663958 132.963470 21.764833 126.462769 1.672209 0.000000
84 11.0083 865.778196 5.986544 1.40705168 133.075607 21.771042 126.479324 1.672206 0.000000
88 2.1438 865.784585 5.986544 1.40718651 133.113525 21.772722 126.484932 1.672205 0.000000
92 3.1896 865.801405 5.986544 1.40752435 133.213318 21.775429 126.499718 1.672202 0.000000
96 3.6203 865.816234 5.986544 1.40780735 133.301300 21.776281 126.512718 1.672199 0.000000
100 0.1439 865.829108 5.986544 1.40804040 133.377686 21.775734 126.523911 1.672197 0.000000
104 0.1685 865.847476 5.986544 1.40835822 133.486664 21.773666 126.539703 1.672193 0.000000
108 0.1400 865.860931 5.986590 1.40857792 133.566528 21.771168 126.551056 1.672190 0.000000
112 7.9846 865.874964 5.986590 1.40879750 133.649841 21.768080 126.562698 1.672187 0.000000
116 1.9546 865.880552 5.986590 1.40888286 133.683029 21.766766 126.567291 1.672186 0.000000
120 2.0535 865.889185 5.984769 1.40900922 133.734283 21.764959 126.574234 1.672184 0.000000
124 1.9967 865.897654 5.984769 1.40913045 133.784561 21.763298 126.580994 1.672182 0.000000
128 0.1390 865.913251 5.975848 1.40933383 133.877075 21.761288 126.593109 1.672179 0.000000
132 0.1737 865.928805 5.976759 1.40952575 133.969376 21.759808 126.604767 1.672172 0.000000
136 0.1473 865.945316 5.976759 1.40971923 134.067383 21.759235 126.616653 1.672165 0.000000
140 13.1978 865.964668 5.976759 1.40993345 134.182358 21.760355 126.629944 1.672156 0.000000
144 9.4305 865.977399 5.976759 1.41006613 134.258011 21.762560 126.638199 1.672151 0.000000
148 2.5919 865.983778 5.976712 1.41013181 134.295929 21.763824 126.642288 1.672148 0.000000
152 3.2440 865.997380 5.976712 1.41026461 134.376831 21.767998 126.650558 1.672142 0.000000
156 0.1465 866.012314 5.976712 1.41040397 134.465698 21.774002 126.659225 1.672135 0.000000
160 0.1549 866.030132 5.976712 1.41056192 134.571777 21.782974 126.668968 1.672127 0.000000
164 1.9154 866.037833 5.976712 1.41062701 134.617645 21.787468 126.672958 1.672124 0.000000
168 1.9654 866.046331 5.976712 1.41069734 134.668259 21.792757 126.677261 1.672120 0.000000
172 0.1540 866.061492 5.975801 1.41081655 134.758621 21.803251 126.684563 1.672113 0.000000
176 11.1232 866.078690 5.969473 1.41093862 134.861084 21.816635 126.692368 1.672105 0.000000
180 2.2848 866.085315 5.968703 1.41098285 134.900543 21.822002 126.695267 1.672102 0.000000
184 3.5115 866.099769 5.968703 1.41107523 134.986664 21.833879 126.701332 1.672094 0.000000
188 0.1622 866.114720 5.968703 1.41116560 135.075760 21.845869 126.707260 1.672084 0.000000
192 0.1403 866.128129 5.968657 1.41124284 135.155701 21.856125 126.712341 1.672075 0.000000
196 0.1675 866.145187 5.968657 1.41133654 135.257431 21.868244 126.718567 1.672063 0.000000
200 10.2036 866.161567 5.968657 1.41142166 135.355133 21.878485 126.724327 1.672053 0.000000
204 2.2216 866.168077 5.968657 1.41145456 135.393951 21.882229 126.726585 1.672048 0.000000
208 4.1166 866.182846 5.968657 1.41152596 135.482071 21.889490 126.731621 1.672038 0.000000
212 2.6000 866.191973 5.968657 1.41156769 135.536499 21.892981 126.734695 1.672032 0.000000
216 2.4537 866.200914 5.968657 1.41160834 135.589844 21.896236 126.737709 1.672026 0.000000
220 3.5845 866.214412 5.968657 1.41166687 135.670380 21.899738 126.742279 1.672016 0.000000
224 0.1457 866.227966 5.968657 1.41172266 135.751221 21.902004 126.746948 1.672007 0.000000
228 0.1544 866.244805 5.960507 1.41178155 135.851547 21.904203 126.752884 1.671994 0.000000
232 10.3967 866.261680 5.962282 1.41183531 135.952057 21.905014 126.759048 1.671981 0.000000
236 2.3381 866.268204 5.959738 1.41185570 135.990906 21.905060 126.761490 1.671976 0.000000
240 3.1091 866.284457 5.960601 1.41190124 136.087616 21.904716 126.767868 1.671962 0.000000
244 3.8294 866.299760 5.960601 1.41194284 136.178696 21.904005 126.774170 1.671947 0.000000
248 0.1811 866.316275 5.960601 1.41198552 136.276886 21.903343 126.781387 1.671932 0.000000
252 0.1420 866.328710 5.960601 1.41201580 136.350815 21.903276 126.787155 1.671919 0.000000
256 2.1785 866.339032 5.960601 1.41204011 136.412155 21.903595 126.792145 1.671909 0.000000
260 2.1797 866.348009 5.960601 1.41206086 136.465485 21.904125 126.796608 1.671900 0.000000
264 2.4997 866.357332 5.960601 1.41208148 136.520844 21.905308 126.801476 1.671891 0.000000
268 2.6825 866.366451 5.960601 1.41210127 136.574997 21.906630 126.806305 1.671882 0.000000
272 2.6497 866.375308 5.960554 1.41211951 136.627563 21.908810 126.811279 1.671873 0.000000
276 1.8874 866.384407 5.960554 1.41213810 136.681564 21.911194 126.816444 1.671864 0.000000
