# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
# DECIMATED 1:10 from the raw DFN_FRAME_LOG (the run presented ~1150 frames/s,
# so this keeps ~115 samples per second against a 60 Hz simulation tick --
# every tick is still sampled about twice, and the quantity claimed from this
# file is a SUSTAINED DISPLACEMENT (mm of eye travel) plus the SHAPE of a
# 0.15 s ramp, neither of which decimation can hide. It is NOT a per-frame
# meander like docs/FINDING_RUN_SMEAR.md, where every frame had to be kept.
0 8.7000 864.008700 0.000000 1.30900002 128.000000 21.925941 128.000000 0.000000 0.000000
10 18.4391 866.222178 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
20 9.6648 866.261226 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
30 0.7162 866.279180 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
40 0.6415 866.313138 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
50 0.9392 866.331069 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
60 1.0961 866.341789 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
70 1.2100 866.351113 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
80 0.6716 866.379913 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
90 18.1401 866.486472 0.000000 1.30900002 128.000000 21.725430 127.900055 0.000000 0.000000
100 0.7367 866.506804 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
110 0.8238 866.515635 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
120 0.7730 866.532913 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
130 0.6802 866.580508 0.000000 1.30900002 128.000000 21.725426 127.900055 0.000000 0.000000
140 1.6521 866.601219 0.000000 1.30900002 128.000000 21.725426 127.900047 0.000000 0.000000
