# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
# DECIMATED 1:10 from the raw DFN_FRAME_LOG (the run presented ~1150 frames/s,
# so this keeps ~115 samples per second against a 60 Hz simulation tick --
# every tick is still sampled about twice, and the quantity claimed from this
# file is a SUSTAINED DISPLACEMENT (mm of eye travel) plus the SHAPE of a
# 0.15 s ramp, neither of which decimation can hide. It is NOT a per-frame
# meander like docs/FINDING_RUN_SMEAR.md, where every frame had to be kept.
0 9.5233 864.009523 0.000000 1.30900002 128.000000 21.925941 128.000000 0.000000 0.000000
4 11.9842 864.027307 0.000000 1.30900002 128.003342 21.924202 127.936241 0.033429 0.000000
8 139.3377 864.618663 1.799929 1.30900145 128.391418 21.690445 127.496429 1.053469 0.000000
12 172.7748 865.452793 1.799641 1.30900145 128.990952 21.725569 127.488731 1.597988 0.000000
16 4.1087 865.466792 1.799641 1.30900145 129.016174 21.726992 127.488091 1.597989 0.000000
20 3.1763 865.479966 1.799641 1.30900145 129.039902 21.727985 127.487434 1.597990 0.000000
24 19.8317 865.531740 1.799641 1.30900145 129.133194 21.728897 127.484543 1.597994 0.000000
28 11.5720 865.582797 1.799641 1.30900145 129.225204 21.724657 127.481598 1.597997 0.000000
32 2.0285 865.588508 1.799641 1.30900145 129.235489 21.723866 127.481293 1.597998 0.000000
36 2.0901 865.597414 1.799641 1.30900145 129.251541 21.722614 127.480820 1.597998 0.000000
40 10.3284 865.628210 1.799641 1.30900145 129.307007 21.717560 127.479355 1.598001 0.000000
44 2.5363 865.634646 1.799641 1.30900145 129.318604 21.716427 127.479080 1.598001 0.000000
48 3.2344 865.646200 1.799641 1.30900145 129.339417 21.714323 127.478653 1.598002 0.000000
52 0.1490 865.659400 1.799641 1.30900145 129.363190 21.711914 127.478218 1.598003 0.000000
56 2.5848 865.667330 1.799641 1.30900145 129.377472 21.710470 127.477982 1.598003 0.000000
60 3.1810 865.678648 1.799641 1.30900145 129.397858 21.708477 127.477722 1.598004 0.000000
64 11.9669 865.697311 1.799641 1.30900145 129.431473 21.705376 127.477417 1.598006 0.000000
68 10.2658 865.711017 1.799641 1.30900145 129.456146 21.703362 127.477341 1.598007 0.000000
72 2.2766 865.717562 1.799641 1.30900145 129.467926 21.702448 127.477325 1.598007 0.000000
76 2.9866 865.728592 1.799641 1.30900145 129.487778 21.701147 127.477379 1.598008 0.000000
80 2.0136 865.737515 1.799641 1.30900145 129.503845 21.700222 127.477478 1.598009 0.000000
84 2.2006 865.746250 1.799641 1.30900145 129.519562 21.699455 127.477615 1.598009 0.000000
88 0.1452 865.759558 1.799641 1.30900145 129.543518 21.698610 127.477936 1.598010 0.000000
92 2.5064 865.767547 1.799641 1.30900145 129.557892 21.698212 127.478165 1.598011 0.000000
96 4.3527 865.783061 1.799641 1.30900145 129.585815 21.697935 127.478752 1.598012 0.000000
100 0.1407 865.798713 1.799641 1.30900145 129.613983 21.698231 127.479523 1.598013 0.000000
104 0.1410 865.813017 1.798738 1.30900145 129.639679 21.699135 127.480377 1.598014 0.000000
108 0.1447 865.827557 1.798750 1.30900145 129.665817 21.700453 127.481400 1.598015 0.000000
112 0.1474 865.845915 1.798750 1.30900145 129.698807 21.702658 127.482880 1.598015 0.000000
116 0.1497 865.860515 1.798750 1.30900145 129.725037 21.704849 127.484207 1.598016 0.000000
120 7.9825 865.874734 1.798763 1.30900145 129.750580 21.707268 127.485641 1.598016 0.000000
124 1.9810 865.880412 1.798763 1.30900145 129.760788 21.708288 127.486252 1.598016 0.000000
128 2.0126 865.888880 1.798775 1.30900145 129.776001 21.709902 127.487198 1.598016 0.000000
132 1.9151 865.897390 1.798775 1.30900145 129.791290 21.711571 127.488182 1.598016 0.000000
136 0.1410 865.914823 1.798788 1.30900145 129.822601 21.715118 127.490349 1.598016 0.000000
140 0.1521 865.929853 1.798853 1.30900145 129.849594 21.718220 127.492371 1.598015 0.000000
144 0.1388 865.944825 1.798813 1.30900145 129.876480 21.721264 127.494492 1.598013 0.000000
148 13.0140 865.964120 1.798813 1.30900145 129.911133 21.724983 127.497330 1.598011 0.000000
152 9.3982 865.976941 1.798826 1.30900145 129.934143 21.727217 127.499313 1.598009 0.000000
156 2.4246 865.983038 1.798826 1.30900145 129.945084 21.728254 127.500267 1.598009 0.000000
160 0.1759 865.995203 1.798853 1.30900145 129.966919 21.730028 127.502228 1.598007 0.000000
164 0.1446 866.012868 1.798853 1.30900145 129.998627 21.732208 127.505135 1.598004 0.000000
168 0.1405 866.028897 1.798853 1.30900145 130.027405 21.733643 127.507828 1.598001 0.000000
