# Daggerfall N per-frame ENVIRONMENT log -- one line per
# PRESENTED frame, taken at the set_environment() call.
# frame dark lights sun_x sun_y sun_z sun_lum amb_lum moon_light eye_x eye_y eye_z
0 0.000000 0 0.7917 0.5055 0.3431 0.9627 0.3586 0.0000 797.560 27.991 299.024
1 0.000000 0 0.7907 0.5071 0.3429 0.9627 0.3586 0.0000 797.721 27.914 299.053
2 0.000000 0 0.7904 0.5077 0.3428 0.9627 0.3586 0.0000 797.886 27.755 299.036
3 0.000000 0 0.7900 0.5085 0.3427 0.9627 0.3586 0.0000 798.003 27.583 298.993
4 0.000000 0 0.7896 0.5091 0.3426 0.9627 0.3586 0.0000 798.139 27.286 298.900
5 0.000000 0 0.7894 0.5094 0.3426 0.9627 0.3586 0.0000 798.256 26.909 298.785
6 0.000000 0 0.7889 0.5103 0.3424 0.9627 0.3586 0.0000 798.352 26.558 298.703
7 0.000000 0 0.7883 0.5113 0.3423 0.9627 0.3586 0.0000 798.476 26.035 298.596
8 0.000000 0 0.7880 0.5118 0.3422 0.9627 0.3586 0.0000 798.598 25.442 298.492
9 0.000000 0 0.7878 0.5122 0.3422 0.9627 0.3586 0.0000 798.706 24.967 298.415
10 0.000000 0 0.7875 0.5126 0.3421 0.9627 0.3586 0.0000 798.800 24.865 298.351
11 0.000000 0 0.7864 0.5144 0.3419 0.9627 0.3586 0.0000 798.921 24.992 298.270
12 0.000000 0 0.7862 0.5148 0.3418 0.9627 0.3586 0.0000 799.026 25.084 298.198
13 0.000000 0 0.7858 0.5154 0.3417 0.9627 0.3586 0.0000 799.139 25.129 298.117
14 0.000000 0 0.7855 0.5159 0.3417 0.9627 0.3586 0.0000 799.229 25.173 298.048
15 0.000000 0 0.7851 0.5167 0.3416 0.9627 0.3586 0.0000 799.342 25.230 297.957
16 0.000000 0 0.7847 0.5173 0.3415 0.9627 0.3586 0.0000 799.434 25.271 297.881
17 0.000000 0 0.7845 0.5177 0.3414 0.9627 0.3586 0.0000 799.544 25.308 297.789
18 0.000000 0 0.7842 0.5181 0.3414 0.9627 0.3586 0.0000 799.632 25.334 297.717
19 0.000000 0 0.7836 0.5191 0.3412 0.9627 0.3586 0.0000 799.734 25.370 297.637
20 0.000000 0 0.7834 0.5195 0.3412 0.9627 0.3586 0.0000 799.851 25.424 297.549
21 0.000000 0 0.7834 0.5196 0.3412 0.9627 0.3586 0.0000 799.890 25.445 297.521
22 0.000000 0 0.7833 0.5196 0.3412 0.9627 0.3586 0.0000 799.922 25.462 297.498
23 0.000000 0 0.7833 0.5197 0.3412 0.9627 0.3586 0.0000 799.972 25.488 297.463
24 0.000000 0 0.7833 0.5197 0.3411 0.9627 0.3586 0.0000 800.016 25.511 297.433
25 0.000000 0 0.7832 0.5198 0.3411 0.9627 0.3586 0.0000 800.060 25.532 297.403
26 0.000000 0 0.7832 0.5198 0.3411 0.9627 0.3586 0.0000 800.103 25.551 297.374
27 0.000000 0 0.7832 0.5199 0.3411 0.9627 0.3586 0.0000 800.142 25.567 297.347
28 0.000000 0 0.7831 0.5199 0.3411 0.9627 0.3586 0.0000 800.175 25.580 297.324
29 0.000000 0 0.7831 0.5200 0.3411 0.9627 0.3586 0.0000 800.188 25.584 297.316
30 0.000000 0 0.7831 0.5200 0.3411 0.9627 0.3586 0.0000 800.227 25.598 297.289
31 0.000000 0 0.7831 0.5201 0.3411 0.9627 0.3586 0.0000 800.262 25.608 297.265
32 0.000000 0 0.7830 0.5201 0.3411 0.9627 0.3586 0.0000 800.294 25.617 297.242
33 0.000000 0 0.7830 0.5202 0.3411 0.9627 0.3586 0.0000 800.326 25.627 297.218
34 0.000000 0 0.7830 0.5202 0.3411 0.9627 0.3586 0.0000 800.357 25.636 297.195
35 0.000000 0 0.7829 0.5203 0.3411 0.9627 0.3586 0.0000 800.397 25.649 297.165
36 0.000000 0 0.7829 0.5203 0.3411 0.9627 0.3586 0.0000 800.435 25.663 297.136
37 0.000000 0 0.7829 0.5204 0.3411 0.9627 0.3586 0.0000 800.469 25.677 297.109
38 0.000000 0 0.7829 0.5204 0.3411 0.9627 0.3586 0.0000 800.473 25.678 297.106
39 0.000000 0 0.7828 0.5204 0.3411 0.9627 0.3586 0.0000 800.512 25.696 297.074
40 0.000000 0 0.7828 0.5205 0.3410 0.9627 0.3586 0.0000 800.551 25.717 297.041
41 0.000000 0 0.7828 0.5205 0.3410 0.9627 0.3586 0.0000 800.584 25.735 297.013
42 0.000000 0 0.7827 0.5206 0.3410 0.9627 0.3586 0.0000 800.622 25.758 296.979
43 0.000000 0 0.7827 0.5206 0.3410 0.9627 0.3586 0.0000 800.658 25.780 296.947
44 0.000000 0 0.7827 0.5207 0.3410 0.9627 0.3586 0.0000 800.696 25.803 296.913
45 0.000000 0 0.7826 0.5208 0.3410 0.9627 0.3586 0.0000 800.733 25.825 296.879
46 0.000000 0 0.7826 0.5208 0.3410 0.9627 0.3586 0.0000 800.773 25.847 296.841
47 0.000000 0 0.7826 0.5208 0.3410 0.9627 0.3586 0.0000 800.778 25.850 296.836
48 0.000000 0 0.7826 0.5209 0.3410 0.9627 0.3586 0.0000 800.824 25.873 296.792
49 0.000000 0 0.7825 0.5210 0.3410 0.9627 0.3586 0.0000 800.862 25.890 296.755
50 0.000000 0 0.7825 0.5210 0.3410 0.9627 0.3586 0.0000 800.896 25.904 296.723
51 0.000000 0 0.7825 0.5211 0.3410 0.9627 0.3586 0.0000 800.927 25.915 296.694
52 0.000000 0 0.7824 0.5211 0.3410 0.9627 0.3586 0.0000 800.971 25.931 296.652
53 0.000000 0 0.7824 0.5212 0.3409 0.9627 0.3586 0.0000 801.010 25.945 296.616
54 0.000000 0 0.7823 0.5213 0.3409 0.9627 0.3586 0.0000 801.049 25.960 296.579
55 0.000000 0 0.7823 0.5213 0.3409 0.9627 0.3586 0.0000 801.096 25.979 296.537
56 0.000000 0 0.7823 0.5214 0.3409 0.9627 0.3586 0.0000 801.140 26.000 296.498
57 0.000000 0 0.7823 0.5214 0.3409 0.9627 0.3586 0.0000 801.145 26.003 296.494
58 0.000000 0 0.7822 0.5214 0.3409 0.9627 0.3586 0.0000 801.160 26.011 296.481
59 0.000000 0 0.7822 0.5215 0.3409 0.9627 0.3586 0.0000 801.207 26.036 296.441
60 0.000000 0 0.7822 0.5215 0.3409 0.9627 0.3586 0.0000 801.242 26.057 296.411
61 0.000000 0 0.7821 0.5216 0.3409 0.9627 0.3586 0.0000 801.296 26.082 296.384
62 0.000000 0 0.7821 0.5217 0.3409 0.9627 0.3586 0.0000 801.346 26.105 296.361
63 0.000000 0 0.7820 0.5218 0.3409 0.9627 0.3586 0.0000 801.416 26.139 296.323
64 0.000000 0 0.7820 0.5218 0.3409 0.9627 0.3586 0.0000 801.484 26.168 296.286
65 0.000000 0 0.7819 0.5219 0.3408 0.9627 0.3586 0.0000 801.551 26.193 296.249
66 0.000000 0 0.7819 0.5220 0.3408 0.9627 0.3586 0.0000 801.610 26.211 296.217
67 0.000000 0 0.7819 0.5220 0.3408 0.9627 0.3586 0.0000 801.618 26.213 296.213
68 0.000000 0 0.7819 0.5220 0.3408 0.9627 0.3586 0.0000 801.635 26.218 296.203
