# Daggerfall N per-frame ENVIRONMENT log -- one line per
# PRESENTED frame, taken at the set_environment() call.
# frame dark lights sun_x sun_y sun_z sun_lum amb_lum moon_light eye_x eye_y eye_z
0 0.000000 0 0.7916 0.5056 0.3431 0.9627 0.3586 0.0000 797.632 27.965 299.042
1 0.000000 0 0.7911 0.5066 0.3429 0.9627 0.3586 0.0000 797.796 27.852 299.051
2 0.000000 0 0.7906 0.5074 0.3428 0.9627 0.3586 0.0000 797.923 27.707 299.025
3 0.000000 0 0.7900 0.5084 0.3427 0.9627 0.3586 0.0000 798.073 27.446 298.952
4 0.000000 0 0.7895 0.5093 0.3426 0.9627 0.3586 0.0000 798.188 27.134 298.849
5 0.000000 0 0.7891 0.5100 0.3425 0.9627 0.3586 0.0000 798.293 26.777 298.753
6 0.000000 0 0.7882 0.5114 0.3423 0.9627 0.3586 0.0000 798.416 26.300 298.648
7 0.000000 0 0.7876 0.5125 0.3421 0.9627 0.3586 0.0000 798.515 25.852 298.563
8 0.000000 0 0.7872 0.5132 0.3420 0.9627 0.3586 0.0000 798.629 25.276 298.465
9 0.000000 0 0.7867 0.5140 0.3419 0.9627 0.3586 0.0000 798.742 24.918 298.391
10 0.000000 0 0.7863 0.5147 0.3418 0.9627 0.3586 0.0000 798.861 24.913 298.311
11 0.000000 0 0.7853 0.5164 0.3416 0.9627 0.3586 0.0000 798.959 25.039 298.245
12 0.000000 0 0.7849 0.5170 0.3415 0.9627 0.3586 0.0000 799.059 25.096 298.175
13 0.000000 0 0.7844 0.5179 0.3414 0.9627 0.3586 0.0000 799.178 25.148 298.087
14 0.000000 0 0.7838 0.5188 0.3413 0.9627 0.3586 0.0000 799.286 25.203 298.003
15 0.000000 0 0.7830 0.5202 0.3411 0.9627 0.3586 0.0000 799.376 25.247 297.929
16 0.000000 0 0.7824 0.5212 0.3410 0.9627 0.3586 0.0000 799.470 25.284 297.850
17 0.000000 0 0.7820 0.5219 0.3409 0.9627 0.3586 0.0000 799.570 25.316 297.767
18 0.000000 0 0.7816 0.5225 0.3408 0.9627 0.3586 0.0000 799.689 25.353 297.671
19 0.000000 0 0.7805 0.5243 0.3405 0.9627 0.3586 0.0000 799.785 25.392 297.598
20 0.000000 0 0.7800 0.5250 0.3404 0.9627 0.3586 0.0000 799.893 25.446 297.519
21 0.000000 0 0.7800 0.5251 0.3404 0.9627 0.3586 0.0000 799.969 25.487 297.465
22 0.000000 0 0.7799 0.5252 0.3404 0.9627 0.3586 0.0000 800.033 25.520 297.421
23 0.000000 0 0.7798 0.5254 0.3404 0.9627 0.3586 0.0000 800.144 25.568 297.345
24 0.000000 0 0.7798 0.5255 0.3404 0.9627 0.3586 0.0000 800.234 25.600 297.284
25 0.000000 0 0.7797 0.5256 0.3404 0.9627 0.3586 0.0000 800.322 25.625 297.221
26 0.000000 0 0.7796 0.5257 0.3403 0.9627 0.3586 0.0000 800.419 25.657 297.149
27 0.000000 0 0.7795 0.5259 0.3403 0.9627 0.3586 0.0000 800.498 25.690 297.085
28 0.000000 0 0.7795 0.5260 0.3403 0.9627 0.3586 0.0000 800.563 25.723 297.031
29 0.000000 0 0.7795 0.5260 0.3403 0.9627 0.3586 0.0000 800.571 25.727 297.024
30 0.000000 0 0.7794 0.5261 0.3403 0.9627 0.3586 0.0000 800.649 25.774 296.956
31 0.000000 0 0.7793 0.5262 0.3403 0.9627 0.3586 0.0000 800.713 25.813 296.897
32 0.000000 0 0.7793 0.5263 0.3403 0.9627 0.3586 0.0000 800.767 25.844 296.846
33 0.000000 0 0.7792 0.5264 0.3402 0.9627 0.3586 0.0000 800.833 25.878 296.783
34 0.000000 0 0.7792 0.5265 0.3402 0.9627 0.3586 0.0000 800.886 25.900 296.732
35 0.000000 0 0.7791 0.5266 0.3402 0.9627 0.3586 0.0000 800.951 25.924 296.671
36 0.000000 0 0.7790 0.5266 0.3402 0.9627 0.3586 0.0000 801.011 25.945 296.614
37 0.000000 0 0.7790 0.5267 0.3402 0.9627 0.3586 0.0000 801.064 25.965 296.566
38 0.000000 0 0.7790 0.5267 0.3402 0.9627 0.3586 0.0000 801.069 25.968 296.562
39 0.000000 0 0.7790 0.5268 0.3402 0.9627 0.3586 0.0000 801.076 25.971 296.555
40 0.000000 0 0.7789 0.5269 0.3402 0.9627 0.3586 0.0000 801.144 26.002 296.495
41 0.000000 0 0.7788 0.5270 0.3402 0.9627 0.3586 0.0000 801.213 26.040 296.435
42 0.000000 0 0.7788 0.5271 0.3402 0.9627 0.3586 0.0000 801.287 26.079 296.387
43 0.000000 0 0.7787 0.5272 0.3401 0.9627 0.3586 0.0000 801.388 26.125 296.338
44 0.000000 0 0.7786 0.5273 0.3401 0.9627 0.3586 0.0000 801.467 26.161 296.295
45 0.000000 0 0.7786 0.5274 0.3401 0.9627 0.3586 0.0000 801.553 26.194 296.248
46 0.000000 0 0.7785 0.5275 0.3401 0.9627 0.3586 0.0000 801.638 26.219 296.201
47 0.000000 0 0.7784 0.5276 0.3401 0.9627 0.3586 0.0000 801.733 26.244 296.148
48 0.000000 0 0.7784 0.5276 0.3401 0.9627 0.3586 0.0000 801.743 26.246 296.142
49 0.000000 0 0.7784 0.5277 0.3401 0.9627 0.3586 0.0000 801.829 26.271 296.091
50 0.000000 0 0.7783 0.5278 0.3400 0.9627 0.3586 0.0000 801.901 26.296 296.046
51 0.000000 0 0.7782 0.5279 0.3400 0.9627 0.3586 0.0000 801.967 26.324 296.003
52 0.000000 0 0.7782 0.5280 0.3400 0.9627 0.3586 0.0000 802.054 26.367 295.944
53 0.000000 0 0.7781 0.5281 0.3400 0.9627 0.3586 0.0000 802.127 26.406 295.892
54 0.000000 0 0.7780 0.5283 0.3400 0.9627 0.3586 0.0000 802.209 26.448 295.832
55 0.000000 0 0.7780 0.5284 0.3400 0.9627 0.3586 0.0000 802.294 26.485 295.769
56 0.000000 0 0.7779 0.5285 0.3400 0.9627 0.3586 0.0000 802.370 26.511 295.712
57 0.000000 0 0.7779 0.5285 0.3400 0.9627 0.3586 0.0000 802.376 26.513 295.707
58 0.000000 0 0.7779 0.5285 0.3400 0.9627 0.3586 0.0000 802.383 26.515 295.702
59 0.000000 0 0.7779 0.5285 0.3400 0.9627 0.3586 0.0000 802.393 26.518 295.695
60 0.000000 0 0.7778 0.5286 0.3399 0.9627 0.3586 0.0000 802.471 26.541 295.639
61 0.000000 0 0.7778 0.5287 0.3399 0.9627 0.3586 0.0000 802.522 26.557 295.603
62 0.000000 0 0.7777 0.5288 0.3399 0.9627 0.3586 0.0000 802.587 26.578 295.559
63 0.000000 0 0.7777 0.5289 0.3399 0.9627 0.3586 0.0000 802.646 26.601 295.520
64 0.000000 0 0.7776 0.5290 0.3399 0.9627 0.3586 0.0000 802.726 26.638 295.469
65 0.000000 0 0.7775 0.5291 0.3399 0.9627 0.3586 0.0000 802.806 26.678 295.420
66 0.000000 0 0.7775 0.5292 0.3399 0.9627 0.3586 0.0000 802.885 26.719 295.373
67 0.000000 0 0.7774 0.5293 0.3399 0.9627 0.3586 0.0000 802.956 26.752 295.331
68 0.000000 0 0.7774 0.5293 0.3399 0.9627 0.3586 0.0000 802.967 26.757 295.325
69 0.000000 0 0.7774 0.5293 0.3399 0.9627 0.3586 0.0000 802.970 26.759 295.323
70 0.000000 0 0.7773 0.5294 0.3398 0.9627 0.3586 0.0000 803.045 26.789 295.280
71 0.000000 0 0.7773 0.5295 0.3398 0.9627 0.3586 0.0000 803.124 26.815 295.233
72 0.000000 0 0.7772 0.5296 0.3398 0.9627 0.3586 0.0000 803.192 26.834 295.193
73 0.000000 0 0.7772 0.5297 0.3398 0.9627 0.3586 0.0000 803.261 26.854 295.150
74 0.000000 0 0.7771 0.5298 0.3398 0.9627 0.3586 0.0000 803.340 26.880 295.099
75 0.000000 0 0.7770 0.5299 0.3398 0.9627 0.3586 0.0000 803.410 26.908 295.052
76 0.000000 0 0.7770 0.5300 0.3398 0.9627 0.3586 0.0000 803.478 26.941 295.004
77 0.000000 0 0.7769 0.5301 0.3397 0.9627 0.3586 0.0000 803.563 26.988 294.942
78 0.000000 0 0.7769 0.5301 0.3397 0.9627 0.3586 0.0000 803.571 26.992 294.936
79 0.000000 0 0.7769 0.5301 0.3397 0.9627 0.3586 0.0000 803.577 26.995 294.932
80 0.000000 0 0.7769 0.5301 0.3397 0.9627 0.3586 0.0000 803.587 27.001 294.924
81 0.000000 0 0.7768 0.5302 0.3397 0.9627 0.3586 0.0000 803.644 27.034 294.880
82 0.000000 0 0.7768 0.5303 0.3397 0.9627 0.3586 0.0000 803.710 27.069 294.828
83 0.000000 0 0.7767 0.5304 0.3397 0.9627 0.3586 0.0000 803.781 27.102 294.771
84 0.000000 0 0.7767 0.5305 0.3397 0.9627 0.3586 0.0000 803.848 27.128 294.718
85 0.000000 0 0.7766 0.5306 0.3397 0.9627 0.3586 0.0000 803.907 27.148 294.671
86 0.000000 0 0.7765 0.5307 0.3397 0.9627 0.3586 0.0000 803.991 27.176 294.606
87 0.000000 0 0.7765 0.5308 0.3396 0.9627 0.3586 0.0000 804.066 27.204 294.552
88 0.000000 0 0.7764 0.5309 0.3396 0.9627 0.3586 0.0000 804.136 27.236 294.501
89 0.000000 0 0.7764 0.5309 0.3396 0.9627 0.3586 0.0000 804.144 27.240 294.496
90 0.000000 0 0.7763 0.5310 0.3396 0.9627 0.3586 0.0000 804.219 27.279 294.445
91 0.000000 0 0.7763 0.5311 0.3396 0.9627 0.3586 0.0000 804.272 27.310 294.409
92 0.000000 0 0.7762 0.5312 0.3396 0.9627 0.3586 0.0000 804.343 27.349 294.363
93 0.000000 0 0.7762 0.5313 0.3396 0.9627 0.3586 0.0000 804.419 27.388 294.314
94 0.000000 0 0.7761 0.5314 0.3396 0.9627 0.3586 0.0000 804.497 27.424 294.263
95 0.000000 0 0.7760 0.5315 0.3396 0.9627 0.3586 0.0000 804.553 27.445 294.227
96 0.000000 0 0.7760 0.5316 0.3395 0.9627 0.3586 0.0000 804.613 27.465 294.187
97 0.000000 0 0.7759 0.5316 0.3395 0.9627 0.3586 0.0000 804.679 27.486 294.142
98 0.000000 0 0.7759 0.5317 0.3395 0.9627 0.3586 0.0000 804.686 27.489 294.137
99 0.000000 0 0.7759 0.5317 0.3395 0.9627 0.3586 0.0000 804.692 27.491 294.133
100 0.000000 0 0.7759 0.5318 0.3395 0.9627 0.3586 0.0000 804.759 27.514 294.085
101 0.000000 0 0.7758 0.5318 0.3395 0.9627 0.3586 0.0000 804.821 27.540 294.039
102 0.000000 0 0.7757 0.5319 0.3395 0.9627 0.3586 0.0000 804.887 27.573 293.988
103 0.000000 0 0.7757 0.5320 0.3395 0.9627 0.3586 0.0000 804.948 27.609 293.938
104 0.000000 0 0.7756 0.5321 0.3395 0.9627 0.3586 0.0000 805.019 27.654 293.879
105 0.000000 0 0.7756 0.5322 0.3395 0.9627 0.3586 0.0000 805.086 27.696 293.822
106 0.000000 0 0.7755 0.5324 0.3394 0.9627 0.3586 0.0000 805.174 27.746 293.743
107 0.000000 0 0.7754 0.5325 0.3394 0.9627 0.3586 0.0000 805.245 27.779 293.680
108 0.000000 0 0.7754 0.5325 0.3394 0.9627 0.3586 0.0000 805.252 27.783 293.673
109 0.000000 0 0.7753 0.5326 0.3394 0.9627 0.3586 0.0000 805.307 27.805 293.625
110 0.000000 0 0.7753 0.5327 0.3394 0.9627 0.3586 0.0000 805.385 27.835 293.555
111 0.000000 0 0.7752 0.5328 0.3394 0.9627 0.3586 0.0000 805.471 27.874 293.483
112 0.000000 0 0.7751 0.5330 0.3394 0.9627 0.3586 0.0000 805.542 27.912 293.424
113 0.000000 0 0.7750 0.5331 0.3393 0.9627 0.3586 0.0000 805.631 27.966 293.354
114 0.000000 0 0.7749 0.5332 0.3393 0.9627 0.3586 0.0000 805.699 28.009 293.300
115 0.000000 0 0.7749 0.5333 0.3393 0.9627 0.3586 0.0000 805.764 28.048 293.251
116 0.000000 0 0.7748 0.5334 0.3393 0.9627 0.3586 0.0000 805.823 28.082 293.205
117 0.000000 0 0.7748 0.5334 0.3393 0.9627 0.3586 0.0000 805.831 28.086 293.199
118 0.000000 0 0.7748 0.5335 0.3393 0.9627 0.3586 0.0000 805.901 28.119 293.145
119 0.000000 0 0.7747 0.5336 0.3393 0.9627 0.3586 0.0000 805.962 28.144 293.096
120 0.000000 0 0.7746 0.5337 0.3393 0.9627 0.3586 0.0000 806.046 28.178 293.026
121 0.000000 0 0.7745 0.5339 0.3392 0.9627 0.3586 0.0000 806.137 28.217 292.955
122 0.000000 0 0.7745 0.5340 0.3392 0.9627 0.3586 0.0000 806.219 28.249 292.918
123 0.000000 0 0.7744 0.5341 0.3392 0.9627 0.3586 0.0000 806.292 28.283 292.873
124 0.000000 0 0.7743 0.5342 0.3392 0.9627 0.3586 0.0000 806.369 28.325 292.823
125 0.000000 0 0.7743 0.5343 0.3392 0.9627 0.3586 0.0000 806.428 28.356 292.784
126 0.000000 0 0.7743 0.5343 0.3392 0.9627 0.3586 0.0000 806.434 28.360 292.779
127 0.000000 0 0.7743 0.5343 0.3392 0.9627 0.3586 0.0000 806.442 28.364 292.773
128 0.000000 0 0.7742 0.5344 0.3392 0.9627 0.3586 0.0000 806.526 28.406 292.715
129 0.000000 0 0.7741 0.5345 0.3391 0.9627 0.3586 0.0000 806.607 28.440 292.659
130 0.000000 0 0.7741 0.5346 0.3391 0.9627 0.3586 0.0000 806.670 28.462 292.615
131 0.000000 0 0.7740 0.5347 0.3391 0.9627 0.3586 0.0000 806.746 28.486 292.563
