# Daggerfall N per-frame ENVIRONMENT log -- one line per
# PRESENTED frame, taken at the set_environment() call.
# frame dark lights sun_x sun_y sun_z sun_lum amb_lum moon_light eye_x eye_y eye_z
0 0.000000 0 0.7917 0.5055 0.3431 0.9627 0.3586 0.0000 762.503 22.356 324.850
1 0.000000 0 0.7913 0.5062 0.3430 0.9627 0.3586 0.0000 762.667 22.349 324.872
2 0.000000 0 0.7910 0.5067 0.3429 0.9627 0.3586 0.0000 762.798 22.339 324.857
3 0.000000 0 0.7903 0.5079 0.3427 0.9627 0.3586 0.0000 762.945 22.333 324.799
4 0.000000 0 0.7898 0.5088 0.3426 0.9627 0.3586 0.0000 763.071 22.338 324.701
5 0.000000 0 0.7894 0.5094 0.3425 0.9627 0.3586 0.0000 763.180 22.350 324.592
6 0.000000 0 0.7889 0.5102 0.3424 0.9627 0.3586 0.0000 763.286 22.356 324.494
7 0.000000 0 0.7886 0.5109 0.3423 0.9627 0.3586 0.0000 763.395 22.350 324.392
8 0.000000 0 0.7880 0.5117 0.3422 0.9627 0.3586 0.0000 763.516 22.333 324.282
9 0.000000 0 0.7876 0.5125 0.3421 0.9627 0.3586 0.0000 763.623 22.324 324.188
10 0.000000 0 0.7873 0.5131 0.3421 0.9627 0.3586 0.0000 763.734 22.326 324.097
11 0.000000 0 0.7866 0.5142 0.3419 0.9627 0.3586 0.0000 763.847 22.340 324.009
12 0.000000 0 0.7862 0.5148 0.3418 0.9627 0.3586 0.0000 763.989 22.355 323.904
13 0.000000 0 0.7858 0.5156 0.3417 0.9627 0.3586 0.0000 764.094 22.355 323.827
14 0.000000 0 0.7850 0.5169 0.3415 0.9627 0.3586 0.0000 764.229 22.340 323.728
15 0.000000 0 0.7844 0.5178 0.3414 0.9627 0.3586 0.0000 764.346 22.326 323.637
16 0.000000 0 0.7840 0.5184 0.3413 0.9627 0.3586 0.0000 764.460 22.322 323.544
17 0.000000 0 0.7837 0.5190 0.3412 0.9627 0.3586 0.0000 764.576 22.333 323.443
18 0.000000 0 0.7828 0.5206 0.3410 0.9627 0.3586 0.0000 764.675 22.347 323.352
19 0.000000 0 0.7824 0.5212 0.3409 0.9627 0.3586 0.0000 764.787 22.356 323.246
20 0.000000 0 0.7823 0.5213 0.3409 0.9627 0.3586 0.0000 764.845 22.355 323.191
21 0.000000 0 0.7823 0.5214 0.3409 0.9627 0.3586 0.0000 764.913 22.348 323.126
22 0.000000 0 0.7822 0.5215 0.3409 0.9627 0.3586 0.0000 764.975 22.339 323.069
23 0.000000 0 0.7822 0.5215 0.3409 0.9627 0.3586 0.0000 765.030 22.331 323.019
24 0.000000 0 0.7821 0.5216 0.3409 0.9627 0.3586 0.0000 765.089 22.324 322.967
25 0.000000 0 0.7821 0.5217 0.3409 0.9627 0.3586 0.0000 765.135 22.322 322.928
26 0.000000 0 0.7820 0.5217 0.3409 0.9627 0.3586 0.0000 765.194 22.322 322.878
27 0.000000 0 0.7820 0.5218 0.3409 0.9627 0.3586 0.0000 765.256 22.327 322.828
28 0.000000 0 0.7820 0.5218 0.3409 0.9627 0.3586 0.0000 765.266 22.328 322.821
29 0.000000 0 0.7820 0.5219 0.3409 0.9627 0.3586 0.0000 765.278 22.329 322.812
30 0.000000 0 0.7819 0.5219 0.3408 0.9627 0.3586 0.0000 765.338 22.337 322.769
31 0.000000 0 0.7819 0.5220 0.3408 0.9627 0.3586 0.0000 765.395 22.344 322.732
32 0.000000 0 0.7818 0.5221 0.3408 0.9627 0.3586 0.0000 765.462 22.352 322.686
33 0.000000 0 0.7818 0.5222 0.3408 0.9627 0.3586 0.0000 765.534 22.356 322.638
34 0.000000 0 0.7817 0.5222 0.3408 0.9627 0.3586 0.0000 765.604 22.355 322.591
35 0.000000 0 0.7817 0.5223 0.3408 0.9627 0.3586 0.0000 765.674 22.350 322.544
36 0.000000 0 0.7816 0.5224 0.3408 0.9627 0.3586 0.0000 765.745 22.341 322.496
37 0.000000 0 0.7816 0.5225 0.3408 0.9627 0.3586 0.0000 765.801 22.333 322.456
38 0.000000 0 0.7816 0.5225 0.3408 0.9627 0.3586 0.0000 765.825 22.330 322.440
39 0.000000 0 0.7815 0.5226 0.3408 0.9627 0.3586 0.0000 765.888 22.324 322.394
40 0.000000 0 0.7815 0.5227 0.3408 0.9627 0.3586 0.0000 765.954 22.321 322.344
41 0.000000 0 0.7814 0.5227 0.3407 0.9627 0.3586 0.0000 766.010 22.323 322.301
42 0.000000 0 0.7814 0.5228 0.3407 0.9627 0.3586 0.0000 766.074 22.328 322.249
43 0.000000 0 0.7814 0.5229 0.3407 0.9627 0.3586 0.0000 766.133 22.336 322.200
44 0.000000 0 0.7813 0.5230 0.3407 0.9627 0.3586 0.0000 766.193 22.345 322.149
