# Daggerfall N per-frame ENVIRONMENT log -- one line per
# PRESENTED frame, taken at the set_environment() call.
# frame dark lights sun_x sun_y sun_z sun_lum amb_lum moon_light eye_x eye_y eye_z
0 0.000000 0 0.7916 0.5056 0.3431 0.9627 0.3586 0.0000 762.541 22.355 324.859
1 0.000000 0 0.7910 0.5067 0.3429 0.9627 0.3586 0.0000 762.672 22.348 324.872
2 0.000000 0 0.7906 0.5074 0.3428 0.9627 0.3586 0.0000 762.831 22.337 324.848
3 0.000000 0 0.7896 0.5092 0.3426 0.9627 0.3586 0.0000 762.988 22.333 324.772
4 0.000000 0 0.7889 0.5102 0.3424 0.9627 0.3586 0.0000 763.084 22.340 324.686
5 0.000000 0 0.7884 0.5112 0.3423 0.9627 0.3586 0.0000 763.206 22.353 324.568
6 0.000000 0 0.7877 0.5123 0.3422 0.9627 0.3586 0.0000 763.320 22.356 324.463
7 0.000000 0 0.7872 0.5132 0.3420 0.9627 0.3586 0.0000 763.418 22.347 324.371
8 0.000000 0 0.7864 0.5144 0.3419 0.9627 0.3586 0.0000 763.532 22.331 324.267
9 0.000000 0 0.7858 0.5155 0.3417 0.9627 0.3586 0.0000 763.635 22.323 324.178
10 0.000000 0 0.7853 0.5163 0.3416 0.9627 0.3586 0.0000 763.758 22.329 324.077
11 0.000000 0 0.7844 0.5179 0.3414 0.9627 0.3586 0.0000 763.887 22.345 323.979
12 0.000000 0 0.7839 0.5187 0.3413 0.9627 0.3586 0.0000 763.992 22.355 323.901
13 0.000000 0 0.7832 0.5198 0.3411 0.9627 0.3586 0.0000 764.131 22.352 323.800
14 0.000000 0 0.7820 0.5218 0.3409 0.9627 0.3586 0.0000 764.238 22.339 323.721
15 0.000000 0 0.7812 0.5232 0.3407 0.9627 0.3586 0.0000 764.359 22.325 323.627
16 0.000000 0 0.7806 0.5241 0.3406 0.9627 0.3586 0.0000 764.469 22.322 323.537
17 0.000000 0 0.7801 0.5249 0.3404 0.9627 0.3586 0.0000 764.598 22.336 323.423
18 0.000000 0 0.7786 0.5273 0.3401 0.9627 0.3586 0.0000 764.711 22.352 323.318
19 0.000000 0 0.7780 0.5283 0.3400 0.9627 0.3586 0.0000 764.812 22.356 323.222
20 0.000000 0 0.7780 0.5284 0.3400 0.9627 0.3586 0.0000 764.892 22.350 323.146
