# Daggerfall N per-frame ENVIRONMENT log -- one line per
# PRESENTED frame, taken at the set_environment() call.
# frame dark lights sun_x sun_y sun_z sun_lum amb_lum moon_light eye_x eye_y eye_z
0 0.000000 0 0.7917 0.5055 0.3431 0.9627 0.3586 0.0000 762.472 22.358 324.840
1 0.000000 0 0.7914 0.5060 0.3430 0.9627 0.3586 0.0000 762.615 22.352 324.870
2 0.000000 0 0.7911 0.5065 0.3429 0.9627 0.3586 0.0000 762.769 22.341 324.863
3 0.000000 0 0.7906 0.5074 0.3428 0.9627 0.3586 0.0000 762.912 22.333 324.817
4 0.000000 0 0.7902 0.5080 0.3427 0.9627 0.3586 0.0000 763.042 22.336 324.729
5 0.000000 0 0.7900 0.5085 0.3427 0.9627 0.3586 0.0000 763.162 22.348 324.609
6 0.000000 0 0.7896 0.5090 0.3426 0.9627 0.3586 0.0000 763.258 22.356 324.520
7 0.000000 0 0.7893 0.5095 0.3425 0.9627 0.3586 0.0000 763.384 22.351 324.403
8 0.000000 0 0.7889 0.5102 0.3424 0.9627 0.3586 0.0000 763.499 22.336 324.297
9 0.000000 0 0.7886 0.5108 0.3424 0.9627 0.3586 0.0000 763.607 22.324 324.201
10 0.000000 0 0.7884 0.5112 0.3423 0.9627 0.3586 0.0000 763.726 22.326 324.103
11 0.000000 0 0.7879 0.5120 0.3422 0.9627 0.3586 0.0000 763.839 22.339 324.015
12 0.000000 0 0.7876 0.5124 0.3421 0.9627 0.3586 0.0000 763.943 22.351 323.937
13 0.000000 0 0.7873 0.5130 0.3421 0.9627 0.3586 0.0000 764.085 22.355 323.834
14 0.000000 0 0.7869 0.5136 0.3420 0.9627 0.3586 0.0000 764.194 22.345 323.754
15 0.000000 0 0.7865 0.5143 0.3419 0.9627 0.3586 0.0000 764.323 22.328 323.655
16 0.000000 0 0.7862 0.5148 0.3418 0.9627 0.3586 0.0000 764.440 22.322 323.561
17 0.000000 0 0.7860 0.5152 0.3418 0.9627 0.3586 0.0000 764.544 22.329 323.472
18 0.000000 0 0.7854 0.5162 0.3416 0.9627 0.3586 0.0000 764.665 22.346 323.361
19 0.000000 0 0.7851 0.5167 0.3416 0.9627 0.3586 0.0000 764.775 22.356 323.257
20 0.000000 0 0.7850 0.5168 0.3415 0.9627 0.3586 0.0000 764.823 22.356 323.211
21 0.000000 0 0.7850 0.5169 0.3415 0.9627 0.3586 0.0000 764.878 22.352 323.159
22 0.000000 0 0.7850 0.5169 0.3415 0.9627 0.3586 0.0000 764.928 22.346 323.113
23 0.000000 0 0.7849 0.5170 0.3415 0.9627 0.3586 0.0000 764.972 22.339 323.072
24 0.000000 0 0.7849 0.5170 0.3415 0.9627 0.3586 0.0000 765.019 22.332 323.028
25 0.000000 0 0.7849 0.5171 0.3415 0.9627 0.3586 0.0000 765.055 22.328 322.997
26 0.000000 0 0.7848 0.5172 0.3415 0.9627 0.3586 0.0000 765.102 22.323 322.956
27 0.000000 0 0.7848 0.5172 0.3415 0.9627 0.3586 0.0000 765.150 22.321 322.915
28 0.000000 0 0.7848 0.5172 0.3415 0.9627 0.3586 0.0000 765.155 22.321 322.911
29 0.000000 0 0.7848 0.5172 0.3415 0.9627 0.3586 0.0000 765.176 22.321 322.893
30 0.000000 0 0.7847 0.5173 0.3415 0.9627 0.3586 0.0000 765.217 22.323 322.860
31 0.000000 0 0.7847 0.5173 0.3415 0.9627 0.3586 0.0000 765.255 22.327 322.829
32 0.000000 0 0.7847 0.5174 0.3415 0.9627 0.3586 0.0000 765.306 22.333 322.790
33 0.000000 0 0.7846 0.5175 0.3415 0.9627 0.3586 0.0000 765.366 22.340 322.751
34 0.000000 0 0.7846 0.5175 0.3414 0.9627 0.3586 0.0000 765.425 22.348 322.711
35 0.000000 0 0.7845 0.5176 0.3414 0.9627 0.3586 0.0000 765.483 22.353 322.672
36 0.000000 0 0.7845 0.5177 0.3414 0.9627 0.3586 0.0000 765.538 22.356 322.635
37 0.000000 0 0.7845 0.5177 0.3414 0.9627 0.3586 0.0000 765.580 22.356 322.607
38 0.000000 0 0.7845 0.5177 0.3414 0.9627 0.3586 0.0000 765.585 22.356 322.604
39 0.000000 0 0.7844 0.5178 0.3414 0.9627 0.3586 0.0000 765.606 22.355 322.590
40 0.000000 0 0.7844 0.5178 0.3414 0.9627 0.3586 0.0000 765.659 22.351 322.555
41 0.000000 0 0.7844 0.5179 0.3414 0.9627 0.3586 0.0000 765.714 22.345 322.517
42 0.000000 0 0.7843 0.5179 0.3414 0.9627 0.3586 0.0000 765.767 22.338 322.481
43 0.000000 0 0.7843 0.5180 0.3414 0.9627 0.3586 0.0000 765.823 22.331 322.441
44 0.000000 0 0.7843 0.5181 0.3414 0.9627 0.3586 0.0000 765.876 22.325 322.403
45 0.000000 0 0.7842 0.5181 0.3414 0.9627 0.3586 0.0000 765.932 22.322 322.361
