# Daggerfall N per-frame ENVIRONMENT log -- one line per
# PRESENTED frame, taken at the set_environment() call.
# frame dark lights sun_x sun_y sun_z sun_lum amb_lum moon_light eye_x eye_y eye_z
0 0.000000 0 0.7917 0.5055 0.3431 0.9627 0.3586 0.0000 797.545 27.994 299.018
1 0.000000 0 0.7915 0.5059 0.3430 0.9627 0.3586 0.0000 797.699 27.929 299.052
2 0.000000 0 0.7913 0.5062 0.3430 0.9627 0.3586 0.0000 797.856 27.791 299.043
3 0.000000 0 0.7910 0.5066 0.3429 0.9627 0.3586 0.0000 797.997 27.594 298.996
4 0.000000 0 0.7907 0.5072 0.3428 0.9627 0.3586 0.0000 798.114 27.351 298.921
5 0.000000 0 0.7906 0.5074 0.3428 0.9627 0.3586 0.0000 798.221 27.024 298.815
6 0.000000 0 0.7901 0.5083 0.3427 0.9627 0.3586 0.0000 798.349 26.568 298.705
7 0.000000 0 0.7896 0.5091 0.3426 0.9627 0.3586 0.0000 798.461 26.102 298.609
8 0.000000 0 0.7894 0.5094 0.3425 0.9627 0.3586 0.0000 798.570 25.583 298.516
9 0.000000 0 0.7893 0.5096 0.3425 0.9627 0.3586 0.0000 798.674 25.035 298.430
10 0.000000 0 0.7891 0.5099 0.3425 0.9627 0.3586 0.0000 798.776 24.870 298.367
11 0.000000 0 0.7887 0.5106 0.3424 0.9627 0.3586 0.0000 798.892 24.952 298.290
12 0.000000 0 0.7885 0.5109 0.3423 0.9627 0.3586 0.0000 799.015 25.081 298.206
13 0.000000 0 0.7883 0.5113 0.3423 0.9627 0.3586 0.0000 799.109 25.116 298.139
14 0.000000 0 0.7881 0.5116 0.3422 0.9627 0.3586 0.0000 799.211 25.164 298.062
15 0.000000 0 0.7877 0.5123 0.3422 0.9627 0.3586 0.0000 799.316 25.218 297.979
16 0.000000 0 0.7874 0.5127 0.3421 0.9627 0.3586 0.0000 799.414 25.263 297.897
17 0.000000 0 0.7873 0.5131 0.3420 0.9627 0.3586 0.0000 799.520 25.301 297.809
18 0.000000 0 0.7871 0.5134 0.3420 0.9627 0.3586 0.0000 799.620 25.330 297.727
19 0.000000 0 0.7867 0.5141 0.3419 0.9627 0.3586 0.0000 799.723 25.366 297.645
20 0.000000 0 0.7865 0.5143 0.3419 0.9627 0.3586 0.0000 799.835 25.416 297.561
21 0.000000 0 0.7865 0.5144 0.3419 0.9627 0.3586 0.0000 799.866 25.432 297.538
22 0.000000 0 0.7864 0.5144 0.3419 0.9627 0.3586 0.0000 799.891 25.445 297.520
23 0.000000 0 0.7864 0.5145 0.3419 0.9627 0.3586 0.0000 799.933 25.468 297.491
24 0.000000 0 0.7864 0.5145 0.3419 0.9627 0.3586 0.0000 799.967 25.486 297.467
25 0.000000 0 0.7864 0.5146 0.3418 0.9627 0.3586 0.0000 800.000 25.503 297.444
26 0.000000 0 0.7863 0.5146 0.3418 0.9627 0.3586 0.0000 800.033 25.519 297.421
27 0.000000 0 0.7863 0.5147 0.3418 0.9627 0.3586 0.0000 800.067 25.536 297.398
28 0.000000 0 0.7863 0.5147 0.3418 0.9627 0.3586 0.0000 800.096 25.548 297.379
29 0.000000 0 0.7863 0.5147 0.3418 0.9627 0.3586 0.0000 800.103 25.551 297.374
30 0.000000 0 0.7863 0.5147 0.3418 0.9627 0.3586 0.0000 800.114 25.556 297.366
31 0.000000 0 0.7863 0.5147 0.3418 0.9627 0.3586 0.0000 800.124 25.560 297.359
32 0.000000 0 0.7862 0.5148 0.3418 0.9627 0.3586 0.0000 800.159 25.573 297.336
33 0.000000 0 0.7862 0.5148 0.3418 0.9627 0.3586 0.0000 800.189 25.585 297.315
34 0.000000 0 0.7862 0.5149 0.3418 0.9627 0.3586 0.0000 800.216 25.594 297.297
35 0.000000 0 0.7862 0.5149 0.3418 0.9627 0.3586 0.0000 800.242 25.603 297.279
36 0.000000 0 0.7861 0.5149 0.3418 0.9627 0.3586 0.0000 800.269 25.610 297.259
37 0.000000 0 0.7861 0.5150 0.3418 0.9627 0.3586 0.0000 800.302 25.620 297.236
38 0.000000 0 0.7861 0.5150 0.3418 0.9627 0.3586 0.0000 800.333 25.629 297.213
39 0.000000 0 0.7861 0.5151 0.3418 0.9627 0.3586 0.0000 800.360 25.637 297.193
40 0.000000 0 0.7861 0.5151 0.3418 0.9627 0.3586 0.0000 800.369 25.640 297.187
41 0.000000 0 0.7860 0.5151 0.3418 0.9627 0.3586 0.0000 800.378 25.643 297.180
42 0.000000 0 0.7860 0.5151 0.3418 0.9627 0.3586 0.0000 800.413 25.655 297.153
43 0.000000 0 0.7860 0.5152 0.3418 0.9627 0.3586 0.0000 800.448 25.668 297.126
44 0.000000 0 0.7860 0.5152 0.3418 0.9627 0.3586 0.0000 800.478 25.681 297.102
45 0.000000 0 0.7859 0.5153 0.3417 0.9627 0.3586 0.0000 800.515 25.698 297.072
46 0.000000 0 0.7859 0.5153 0.3417 0.9627 0.3586 0.0000 800.549 25.716 297.043
47 0.000000 0 0.7859 0.5154 0.3417 0.9627 0.3586 0.0000 800.587 25.737 297.010
48 0.000000 0 0.7858 0.5155 0.3417 0.9627 0.3586 0.0000 800.625 25.759 296.977
49 0.000000 0 0.7858 0.5155 0.3417 0.9627 0.3586 0.0000 800.665 25.784 296.941
50 0.000000 0 0.7858 0.5155 0.3417 0.9627 0.3586 0.0000 800.670 25.787 296.936
51 0.000000 0 0.7858 0.5156 0.3417 0.9627 0.3586 0.0000 800.708 25.810 296.901
52 0.000000 0 0.7857 0.5156 0.3417 0.9627 0.3586 0.0000 800.742 25.830 296.870
53 0.000000 0 0.7857 0.5157 0.3417 0.9627 0.3586 0.0000 800.775 25.849 296.838
54 0.000000 0 0.7856 0.5158 0.3417 0.9627 0.3586 0.0000 800.820 25.871 296.796
55 0.000000 0 0.7856 0.5158 0.3417 0.9627 0.3586 0.0000 800.859 25.889 296.758
56 0.000000 0 0.7856 0.5159 0.3417 0.9627 0.3586 0.0000 800.903 25.906 296.717
57 0.000000 0 0.7855 0.5160 0.3417 0.9627 0.3586 0.0000 800.945 25.922 296.676
58 0.000000 0 0.7855 0.5160 0.3416 0.9627 0.3586 0.0000 800.984 25.935 296.640
59 0.000000 0 0.7855 0.5160 0.3416 0.9627 0.3586 0.0000 800.991 25.938 296.633
60 0.000000 0 0.7855 0.5160 0.3416 0.9627 0.3586 0.0000 801.000 25.941 296.624
61 0.000000 0 0.7855 0.5161 0.3416 0.9627 0.3586 0.0000 801.010 25.945 296.616
62 0.000000 0 0.7854 0.5161 0.3416 0.9627 0.3586 0.0000 801.046 25.958 296.582
63 0.000000 0 0.7854 0.5162 0.3416 0.9627 0.3586 0.0000 801.070 25.968 296.561
64 0.000000 0 0.7854 0.5162 0.3416 0.9627 0.3586 0.0000 801.100 25.981 296.534
65 0.000000 0 0.7854 0.5162 0.3416 0.9627 0.3586 0.0000 801.126 25.993 296.511
66 0.000000 0 0.7853 0.5163 0.3416 0.9627 0.3586 0.0000 801.159 26.010 296.481
67 0.000000 0 0.7853 0.5163 0.3416 0.9627 0.3586 0.0000 801.192 26.028 296.454
68 0.000000 0 0.7853 0.5164 0.3416 0.9627 0.3586 0.0000 801.225 26.047 296.425
69 0.000000 0 0.7852 0.5164 0.3416 0.9627 0.3586 0.0000 801.258 26.066 296.400
70 0.000000 0 0.7852 0.5164 0.3416 0.9627 0.3586 0.0000 801.263 26.068 296.398
71 0.000000 0 0.7852 0.5165 0.3416 0.9627 0.3586 0.0000 801.273 26.072 296.393
72 0.000000 0 0.7852 0.5165 0.3416 0.9627 0.3586 0.0000 801.286 26.078 296.388
73 0.000000 0 0.7852 0.5165 0.3416 0.9627 0.3586 0.0000 801.337 26.101 296.367
74 0.000000 0 0.7851 0.5166 0.3416 0.9627 0.3586 0.0000 801.386 26.125 296.339
75 0.000000 0 0.7851 0.5166 0.3416 0.9627 0.3586 0.0000 801.426 26.143 296.318
76 0.000000 0 0.7851 0.5167 0.3416 0.9627 0.3586 0.0000 801.466 26.161 296.296
77 0.000000 0 0.7851 0.5168 0.3415 0.9627 0.3586 0.0000 801.512 26.179 296.271
78 0.000000 0 0.7850 0.5168 0.3415 0.9627 0.3586 0.0000 801.555 26.194 296.247
79 0.000000 0 0.7850 0.5169 0.3415 0.9627 0.3586 0.0000 801.597 26.207 296.224
80 0.000000 0 0.7849 0.5169 0.3415 0.9627 0.3586 0.0000 801.650 26.222 296.195
81 0.000000 0 0.7849 0.5169 0.3415 0.9627 0.3586 0.0000 801.659 26.225 296.189
82 0.000000 0 0.7849 0.5170 0.3415 0.9627 0.3586 0.0000 801.671 26.228 296.183
83 0.000000 0 0.7849 0.5170 0.3415 0.9627 0.3586 0.0000 801.682 26.231 296.177
84 0.000000 0 0.7849 0.5170 0.3415 0.9627 0.3586 0.0000 801.716 26.239 296.158
85 0.000000 0 0.7849 0.5171 0.3415 0.9627 0.3586 0.0000 801.754 26.249 296.136
86 0.000000 0 0.7848 0.5171 0.3415 0.9627 0.3586 0.0000 801.793 26.260 296.113
87 0.000000 0 0.7848 0.5172 0.3415 0.9627 0.3586 0.0000 801.829 26.271 296.091
88 0.000000 0 0.7848 0.5172 0.3415 0.9627 0.3586 0.0000 801.861 26.281 296.071
89 0.000000 0 0.7848 0.5173 0.3415 0.9627 0.3586 0.0000 801.898 26.295 296.048
90 0.000000 0 0.7847 0.5173 0.3415 0.9627 0.3586 0.0000 801.935 26.310 296.024
91 0.000000 0 0.7847 0.5173 0.3415 0.9627 0.3586 0.0000 801.969 26.325 296.002
92 0.000000 0 0.7847 0.5174 0.3415 0.9627 0.3586 0.0000 801.973 26.327 295.999
