# call qx qy qz carve_dist ground_y above_ground path_m path_measured darkness
0 797.419 26.300 298.941 +0.955807 22.934 1 0.000 0 0.000000
1 797.497 26.284 298.986 +0.976898 22.927 1 0.000 0 0.000000
2 797.639 26.202 299.033 +1.069275 22.926 1 0.000 0 0.000000
3 797.789 26.052 299.040 +1.232422 22.940 1 0.000 0 0.000000
4 797.935 25.834 299.009 +1.465227 22.968 1 0.000 0 0.000000
5 798.068 25.548 298.942 +1.766363 23.008 1 0.000 0 0.000000
6 798.184 25.194 298.847 +2.134542 23.057 1 0.000 0 0.000000
7 798.298 24.771 298.749 +2.569443 23.106 1 0.000 0 0.000000
8 798.412 24.281 298.651 +3.071077 23.156 1 0.000 0 0.000000
9 798.526 23.722 298.554 +3.639452 23.205 1 0.000 0 0.000000
10 798.633 23.282 298.479 +4.089188 23.246 1 0.000 0 0.000000
11 798.740 23.324 298.402 +4.066925 23.288 1 0.000 0 0.000000
12 798.847 23.365 298.325 +4.044586 23.329 1 0.000 0 0.000000
13 798.954 23.407 298.248 +4.022167 23.371 1 0.000 0 0.000000
14 799.060 23.450 298.171 +3.999392 23.414 1 0.000 0 0.000000
15 799.166 23.492 298.093 +3.976057 23.456 1 0.000 0 0.000000
16 799.272 23.535 298.016 +3.952627 23.498 1 0.000 0 0.000000
17 799.377 23.578 297.938 +3.929104 23.541 1 0.000 0 0.000000
18 799.482 23.621 297.860 +3.905521 23.584 1 0.000 0 0.000000
19 799.586 23.663 297.781 +3.882238 23.627 1 0.000 0 0.000000
20 799.691 23.707 297.703 +3.858219 23.670 1 0.000 0 0.000000
21 799.794 23.750 297.624 +3.834017 23.713 1 0.000 0 0.000000
22 799.836 23.768 297.592 +3.824156 23.731 1 0.000 0 0.000000
23 799.877 23.785 297.561 +3.814264 23.748 1 0.000 0 0.000000
24 799.918 23.803 297.529 +3.804363 23.765 1 0.000 0 0.000000
25 799.959 23.821 297.498 +3.794434 23.783 1 0.000 0 0.000000
26 800.000 23.838 297.466 +3.784494 23.800 1 0.000 0 0.000000
27 800.042 23.856 297.434 +3.774527 23.818 1 0.000 0 0.000000
28 800.082 23.874 297.403 +3.764097 23.835 1 0.000 0 0.000000
29 800.103 23.883 297.387 +3.758690 23.844 1 0.000 0 0.000000
30 800.123 23.892 297.372 +3.753277 23.853 1 0.000 0 0.000000
31 800.163 23.911 297.341 +3.742426 23.870 1 0.000 0 0.000000
32 800.184 23.919 297.324 +3.737881 23.879 1 0.000 0 0.000000
33 800.225 23.937 297.293 +3.727913 23.897 1 0.000 0 0.000000
34 800.245 23.946 297.277 +3.722927 23.905 1 0.000 0 0.000000
35 800.286 23.963 297.244 +3.712927 23.923 1 0.000 0 0.000000
36 800.326 23.981 297.212 +3.702902 23.941 1 0.000 0 0.000000
37 800.367 23.999 297.180 +3.692625 23.959 1 0.000 0 0.000000
38 800.387 24.008 297.164 +3.687832 23.968 1 0.000 0 0.000000
39 800.407 24.017 297.148 +3.682802 23.977 1 0.000 0 0.000000
40 800.448 24.034 297.115 +3.672722 23.995 1 0.000 0 0.000000
41 800.468 24.043 297.099 +3.667667 24.004 1 0.000 0 0.000000
42 800.508 24.061 297.067 +3.657543 24.022 1 0.000 0 0.000000
43 800.548 24.079 297.034 +3.647202 24.040 1 0.000 0 0.000000
44 800.588 24.097 297.002 +3.636772 24.058 1 0.000 0 0.000000
45 800.628 24.115 296.969 +3.626280 24.076 1 0.000 0 0.000000
46 800.667 24.133 296.936 +3.615751 24.094 1 0.000 0 0.000000
47 800.707 24.151 296.904 +3.605156 24.112 1 0.000 0 0.000000
48 800.707 24.151 296.904 +3.605156 24.112 1 0.000 0 0.000000
49 800.766 24.179 296.855 +3.589117 24.139 1 0.000 0 0.000000
50 800.805 24.197 296.822 +3.578405 24.158 1 0.000 0 0.000000
51 800.845 24.216 296.789 +3.567650 24.176 1 0.000 0 0.000000
52 800.884 24.234 296.756 +3.556871 24.194 1 0.000 0 0.000000
53 800.923 24.252 296.722 +3.546057 24.213 1 0.000 0 0.000000
