# call qx qy qz carve_dist ground_y above_ground path_m path_measured darkness
0 797.419 26.300 298.941 -0.023834 22.934 1 0.000 0 0.000000
1 797.552 26.259 299.009 +0.025658 22.925 1 0.000 0 0.000000
2 797.699 26.150 299.040 +0.146454 22.930 1 0.000 0 0.000000
3 797.848 25.973 299.033 +0.337614 22.949 1 0.000 0 0.000000
4 797.990 25.728 298.987 +0.597919 22.983 1 0.000 0 0.000000
5 798.116 25.414 298.905 +0.925999 23.027 1 0.000 0 0.000000
6 798.230 25.033 298.808 +1.320854 23.076 1 0.000 0 0.000000
7 798.344 24.583 298.710 +1.782448 23.126 1 0.000 0 0.000000
8 798.457 24.066 298.612 +2.310780 23.176 1 0.000 0 0.000000
9 798.571 23.480 298.515 +2.905849 23.226 1 0.000 0 0.000000
10 798.676 23.299 298.448 +3.100657 23.263 1 0.000 0 0.000000
11 798.783 23.340 298.371 +3.078363 23.304 1 0.000 0 0.000000
12 798.890 23.382 298.294 +3.055986 23.346 1 0.000 0 0.000000
13 798.997 23.424 298.217 +3.033529 23.388 1 0.000 0 0.000000
14 799.103 23.467 298.140 +3.010437 23.430 1 0.000 0 0.000000
15 799.208 23.509 298.062 +2.987062 23.473 1 0.000 0 0.000000
16 799.314 23.552 297.985 +2.963594 23.515 1 0.000 0 0.000000
17 799.419 23.595 297.907 +2.940035 23.558 1 0.000 0 0.000000
18 799.524 23.638 297.828 +2.916607 23.601 1 0.000 0 0.000000
19 799.628 23.681 297.750 +2.893040 23.644 1 0.000 0 0.000000
20 799.732 23.724 297.671 +2.868908 23.687 1 0.000 0 0.000000
21 799.836 23.768 297.592 +2.844515 23.731 1 0.000 0 0.000000
22 799.918 23.803 297.529 +2.824724 23.765 1 0.000 0 0.000000
23 799.980 23.829 297.482 +2.809822 23.792 1 0.000 0 0.000000
24 800.082 23.874 297.403 +2.784458 23.835 1 0.000 0 0.000000
25 800.163 23.911 297.341 +2.762787 23.870 1 0.000 0 0.000000
26 800.245 23.946 297.277 +2.743286 23.905 1 0.000 0 0.000000
27 800.347 23.990 297.196 +2.718239 23.950 1 0.000 0 0.000000
28 800.427 24.025 297.132 +2.698122 23.986 1 0.000 0 0.000000
29 800.488 24.052 297.083 +2.682968 24.013 1 0.000 0 0.000000
30 800.508 24.061 297.067 +2.677902 24.022 1 0.000 0 0.000000
31 800.588 24.097 297.002 +2.657131 24.058 1 0.000 0 0.000000
32 800.648 24.124 296.953 +2.641380 24.085 1 0.000 0 0.000000
33 800.707 24.151 296.904 +2.625515 24.112 1 0.000 0 0.000000
34 800.766 24.179 296.855 +2.609478 24.139 1 0.000 0 0.000000
35 800.825 24.206 296.805 +2.593391 24.167 1 0.000 0 0.000000
36 800.903 24.243 296.739 +2.571825 24.204 1 0.000 0 0.000000
37 800.961 24.271 296.689 +2.555569 24.231 1 0.000 0 0.000000
38 801.019 24.299 296.639 +2.539026 24.259 1 0.000 0 0.000000
39 801.019 24.299 296.639 +2.539026 24.259 1 0.000 0 0.000000
40 801.039 24.308 296.623 +2.533506 24.268 1 0.000 0 0.000000
41 801.096 24.336 296.573 +2.516876 24.296 1 0.000 0 0.000000
42 801.173 24.373 296.505 +2.494566 24.333 1 0.000 0 0.000000
43 801.233 24.400 296.458 +2.478735 24.360 1 0.000 0 0.000000
44 801.322 24.435 296.403 +2.459616 24.394 1 0.000 0 0.000000
45 801.410 24.470 296.348 +2.440233 24.428 1 0.000 0 0.000000
46 801.476 24.496 296.306 +2.425901 24.453 1 0.000 0 0.000000
47 801.565 24.530 296.251 +2.407042 24.487 1 0.000 0 0.000000
48 801.653 24.564 296.195 +2.388136 24.521 1 0.000 0 0.000000
49 801.675 24.573 296.181 +2.383398 24.530 1 0.000 0 0.000000
50 801.741 24.598 296.139 +2.369183 24.556 1 0.000 0 0.000000
51 801.829 24.633 296.084 +2.350178 24.590 1 0.000 0 0.000000
52 801.895 24.659 296.042 +2.335901 24.616 1 0.000 0 0.000000
53 801.983 24.693 295.985 +2.317068 24.651 1 0.000 0 0.000000
54 802.049 24.719 295.943 +2.302866 24.677 1 0.000 0 0.000000
55 802.136 24.753 295.886 +2.283890 24.712 1 0.000 0 0.000000
56 802.224 24.787 295.830 +2.264851 24.747 1 0.000 0 0.000000
57 802.311 24.822 295.773 +2.245392 24.782 1 0.000 0 0.000000
58 802.311 24.822 295.773 +2.245392 24.782 1 0.000 0 0.000000
59 802.311 24.822 295.773 +2.245392 24.782 1 0.000 0 0.000000
60 802.333 24.831 295.759 +2.240648 24.790 1 0.000 0 0.000000
61 802.420 24.866 295.703 +2.220695 24.825 1 0.000 0 0.000000
62 802.463 24.884 295.675 +2.210697 24.842 1 0.000 0 0.000000
63 802.529 24.910 295.632 +2.195932 24.869 1 0.000 0 0.000000
64 802.594 24.936 295.590 +2.181105 24.895 1 0.000 0 0.000000
65 802.680 24.972 295.533 +2.161293 24.930 1 0.000 0 0.000000
66 802.745 24.998 295.491 +2.146389 24.957 1 0.000 0 0.000000
67 802.831 25.033 295.434 +2.126469 24.992 1 0.000 0 0.000000
68 802.896 25.060 295.391 +2.111500 25.019 1 0.000 0 0.000000
69 802.896 25.060 295.391 +2.111500 25.019 1 0.000 0 0.000000
70 802.918 25.069 295.377 +2.106068 25.028 1 0.000 0 0.000000
71 802.982 25.095 295.333 +2.091377 25.054 1 0.000 0 0.000000
72 803.046 25.122 295.291 +2.076212 25.081 1 0.000 0 0.000000
73 803.111 25.148 295.247 +2.061010 25.108 1 0.000 0 0.000000
74 803.196 25.184 295.190 +2.040524 25.144 1 0.000 0 0.000000
75 803.260 25.211 295.147 +2.024925 25.171 1 0.000 0 0.000000
76 803.324 25.238 295.104 +2.009293 25.197 1 0.000 0 0.000000
77 803.409 25.274 295.046 +1.988388 25.233 1 0.000 0 0.000000
78 803.493 25.310 294.988 +1.967489 25.270 1 0.000 0 0.000000
79 803.493 25.310 294.988 +1.967489 25.270 1 0.000 0 0.000000
80 803.493 25.310 294.988 +1.967489 25.270 1 0.000 0 0.000000
81 803.514 25.319 294.973 +1.962292 25.279 1 0.000 0 0.000000
82 803.578 25.346 294.930 +1.946661 25.306 1 0.000 0 0.000000
83 803.641 25.373 294.886 +1.930983 25.333 1 0.000 0 0.000000
84 803.725 25.410 294.828 +1.909702 25.369 1 0.000 0 0.000000
85 803.788 25.437 294.784 +1.893465 25.397 1 0.000 0 0.000000
86 803.850 25.465 294.740 +1.877171 25.424 1 0.000 0 0.000000
87 803.933 25.502 294.682 +1.855394 25.461 1 0.000 0 0.000000
88 804.016 25.539 294.623 +1.833405 25.497 1 0.000 0 0.000000
89 804.078 25.567 294.579 +1.816788 25.525 1 0.000 0 0.000000
90 804.099 25.576 294.564 +1.811226 25.534 1 0.000 0 0.000000
91 804.161 25.604 294.520 +1.794538 25.562 1 0.000 0 0.000000
92 804.223 25.632 294.476 +1.777798 25.589 1 0.000 0 0.000000
93 804.284 25.660 294.431 +1.761045 25.617 1 0.000 0 0.000000
94 804.366 25.698 294.372 +1.738640 25.654 1 0.000 0 0.000000
95 804.427 25.726 294.327 +1.721754 25.682 1 0.000 0 0.000000
96 804.488 25.754 294.282 +1.704935 25.710 1 0.000 0 0.000000
97 804.549 25.782 294.237 +1.688210 25.738 1 0.000 0 0.000000
98 804.610 25.810 294.191 +1.671410 25.767 1 0.000 0 0.000000
99 804.610 25.810 294.191 +1.671410 25.767 1 0.000 0 0.000000
100 804.630 25.820 294.176 +1.665804 25.776 1 0.000 0 0.000000
101 804.691 25.848 294.131 +1.648937 25.805 1 0.000 0 0.000000
102 804.751 25.876 294.085 +1.632011 25.833 1 0.000 0 0.000000
103 804.811 25.905 294.039 +1.614597 25.862 1 0.000 0 0.000000
104 804.871 25.933 293.994 +1.597424 25.890 1 0.000 0 0.000000
105 804.951 25.972 293.933 +1.573864 25.928 1 0.000 0 0.000000
106 805.010 26.000 293.887 +1.556116 25.956 1 0.000 0 0.000000
107 805.109 26.049 293.811 +1.526360 26.004 1 0.000 0 0.000000
108 805.187 26.088 293.749 +1.502407 26.042 1 0.000 0 0.000000
109 805.207 26.097 293.734 +1.496401 26.052 1 0.000 0 0.000000
110 805.246 26.117 293.703 +1.484354 26.071 1 0.000 0 0.000000
111 805.343 26.166 293.625 +1.453991 26.120 1 0.000 0 0.000000
112 805.420 26.205 293.563 +1.429396 26.158 1 0.000 0 0.000000
113 805.496 26.245 293.500 +1.404564 26.197 1 0.000 0 0.000000
114 805.591 26.294 293.421 +1.373604 26.246 1 0.000 0 0.000000
115 805.648 26.324 293.373 +1.354939 26.276 1 0.000 0 0.000000
116 805.704 26.354 293.325 +1.336189 26.305 1 0.000 0 0.000000
117 805.760 26.383 293.277 +1.317343 26.335 1 0.000 0 0.000000
118 805.779 26.393 293.261 +1.311043 26.345 1 0.000 0 0.000000
119 805.835 26.423 293.212 +1.292055 26.375 1 0.000 0 0.000000
120 805.890 26.453 293.163 +1.272959 26.405 1 0.000 0 0.000000
121 805.981 26.504 293.081 +1.240728 26.456 1 0.000 0 0.000000
122 806.075 26.554 293.002 +1.209209 26.505 1 0.000 0 0.000000
123 806.140 26.581 292.962 +1.193415 26.532 1 0.000 0 0.000000
124 806.206 26.608 292.922 +1.177809 26.559 1 0.000 0 0.000000
125 806.294 26.644 292.870 +1.156935 26.595 1 0.000 0 0.000000
126 806.359 26.671 292.830 +1.141247 26.622 1 0.000 0 0.000000
127 806.359 26.671 292.830 +1.141247 26.622 1 0.000 0 0.000000
128 806.381 26.680 292.817 +1.136000 26.631 1 0.000 0 0.000000
129 806.469 26.716 292.764 +1.115402 26.668 1 0.000 0 0.000000
130 806.534 26.743 292.724 +1.099598 26.695 1 0.000 0 0.000000
131 806.600 26.770 292.684 +1.084013 26.722 1 0.000 0 0.000000
132 806.687 26.806 292.631 +1.062824 26.758 1 0.000 0 0.000000
133 806.795 26.851 292.564 +1.036264 26.804 1 0.000 0 0.000000
134 806.904 26.897 292.497 +1.009588 26.850 1 0.000 0 0.000000
135 806.969 26.924 292.457 +0.993526 26.877 1 0.000 0 0.000000
136 807.033 26.952 292.416 +0.977449 26.905 1 0.000 0 0.000000
137 807.055 26.961 292.403 +0.972076 26.914 1 0.000 0 0.000000
138 807.055 26.961 292.403 +0.972076 26.914 1 0.000 0 0.000000
139 807.076 26.970 292.389 +0.966707 26.923 1 0.000 0 0.000000
140 807.076 26.970 292.389 +0.966707 26.923 1 0.000 0 0.000000
141 807.098 26.979 292.376 +0.961325 26.933 1 0.000 0 0.000000
142 807.098 26.979 292.376 +0.961325 26.933 1 0.000 0 0.000000
143 807.120 26.988 292.362 +0.955942 26.942 1 0.000 0 0.000000
144 807.120 26.988 292.362 +0.955942 26.942 1 0.000 0 0.000000
145 807.141 26.997 292.349 +0.950552 26.951 1 0.000 0 0.000000
146 807.141 26.997 292.349 +0.950552 26.951 1 0.000 0 0.000000
147 807.163 27.007 292.335 +0.945156 26.960 1 0.000 0 0.000000
148 807.163 27.007 292.335 +0.945156 26.960 1 0.000 0 0.000000
149 807.184 27.016 292.321 +0.939762 26.969 1 0.000 0 0.000000
150 807.184 27.016 292.321 +0.939762 26.969 1 0.000 0 0.000000
151 807.205 27.025 292.308 +0.934048 26.979 1 0.000 0 0.000000
152 807.205 27.025 292.308 +0.934048 26.979 1 0.000 0 0.000000
153 807.227 27.034 292.294 +0.928699 26.988 1 0.000 0 0.000000
154 807.227 27.034 292.294 +0.928699 26.988 1 0.000 0 0.000000
155 807.248 27.044 292.281 +0.923283 26.997 1 0.000 0 0.000000
156 807.248 27.044 292.281 +0.923283 26.997 1 0.000 0 0.000000
157 807.270 27.053 292.267 +0.917730 27.006 1 0.000 0 0.000000
158 807.270 27.053 292.267 +0.917730 27.006 1 0.000 0 0.000000
159 807.291 27.062 292.254 +0.912165 27.015 1 0.000 0 0.000000
160 807.291 27.062 292.254 +0.912165 27.015 1 0.000 0 0.000000
161 807.312 27.071 292.241 +0.906609 27.025 1 0.000 0 0.000000
162 807.312 27.071 292.241 +0.906609 27.025 1 0.000 0 0.000000
163 807.334 27.081 292.227 +0.900885 27.034 1 0.000 0 0.000000
164 807.355 27.090 292.214 +0.895222 27.043 1 0.000 0 0.000000
165 807.355 27.090 292.214 +0.895222 27.043 1 0.000 0 0.000000
166 807.376 27.100 292.201 +0.889563 27.052 1 0.000 0 0.000000
167 807.376 27.100 292.201 +0.889563 27.052 1 0.000 0 0.000000
168 807.398 27.109 292.187 +0.883890 27.061 1 0.000 0 0.000000
169 807.398 27.109 292.187 +0.883890 27.061 1 0.000 0 0.000000
170 807.419 27.118 292.174 +0.878210 27.070 1 0.000 0 0.000000
171 807.440 27.128 292.160 +0.872536 27.079 1 0.000 0 0.000000
172 807.461 27.137 292.147 +0.866852 27.089 1 0.000 0 0.000000
173 807.461 27.137 292.147 +0.866852 27.089 1 0.000 0 0.000000
174 807.483 27.147 292.134 +0.861237 27.098 1 0.000 0 0.000000
175 807.504 27.156 292.120 +0.855747 27.107 1 0.000 0 0.000000
176 807.525 27.165 292.107 +0.850185 27.116 1 0.000 0 0.000000
177 807.525 27.165 292.107 +0.850185 27.116 1 0.000 0 0.000000
178 807.547 27.175 292.093 +0.844612 27.126 1 0.000 0 0.000000
179 807.568 27.184 292.080 +0.839039 27.135 1 0.000 0 0.000000
180 807.589 27.193 292.066 +0.833469 27.144 1 0.000 0 0.000000
181 807.589 27.193 292.066 +0.833469 27.144 1 0.000 0 0.000000
182 807.611 27.202 292.052 +0.827877 27.153 1 0.000 0 0.000000
183 807.632 27.212 292.039 +0.822292 27.163 1 0.000 0 0.000000
184 807.632 27.212 292.039 +0.822292 27.163 1 0.000 0 0.000000
185 807.653 27.221 292.025 +0.816696 27.172 1 0.000 0 0.000000
186 807.653 27.221 292.025 +0.816696 27.172 1 0.000 0 0.000000
187 807.674 27.231 292.012 +0.811098 27.181 1 0.000 0 0.000000
188 807.674 27.231 292.012 +0.811098 27.181 1 0.000 0 0.000000
189 807.717 27.249 291.984 +0.799885 27.200 1 0.000 0 0.000000
190 807.717 27.249 291.984 +0.799885 27.200 1 0.000 0 0.000000
191 807.738 27.259 291.971 +0.794273 27.209 1 0.000 0 0.000000
192 807.738 27.259 291.971 +0.794273 27.209 1 0.000 0 0.000000
193 807.759 27.268 291.957 +0.788651 27.218 1 0.000 0 0.000000
194 807.780 27.277 291.944 +0.783024 27.228 1 0.000 0 0.000000
195 807.780 27.277 291.944 +0.783024 27.228 1 0.000 0 0.000000
196 807.801 27.287 291.930 +0.777388 27.237 1 0.000 0 0.000000
197 807.801 27.287 291.930 +0.777388 27.237 1 0.000 0 0.000000
198 807.843 27.306 291.903 +0.765993 27.256 1 0.000 0 0.000000
199 807.885 27.324 291.875 +0.754589 27.274 1 0.000 0 0.000000
200 807.906 27.334 291.862 +0.748878 27.283 1 0.000 0 0.000000
201 807.906 27.334 291.862 +0.748878 27.283 1 0.000 0 0.000000
202 807.927 27.343 291.848 +0.743164 27.293 1 0.000 0 0.000000
203 807.927 27.343 291.848 +0.743164 27.293 1 0.000 0 0.000000
204 807.948 27.353 291.834 +0.737440 27.302 1 0.000 0 0.000000
205 807.948 27.353 291.834 +0.737440 27.302 1 0.000 0 0.000000
206 807.969 27.362 291.820 +0.731718 27.312 1 0.000 0 0.000000
207 807.990 27.372 291.807 +0.725985 27.321 1 0.000 0 0.000000
208 807.990 27.372 291.807 +0.725985 27.321 1 0.000 0 0.000000
209 808.011 27.381 291.793 +0.720243 27.330 1 0.000 0 0.000000
210 808.011 27.381 291.793 +0.720243 27.330 1 0.000 0 0.000000
211 808.032 27.391 291.779 +0.714495 27.340 1 0.000 0 0.000000
212 808.053 27.400 291.765 +0.708748 27.349 1 0.000 0 0.000000
213 808.053 27.400 291.765 +0.708748 27.349 1 0.000 0 0.000000
214 808.074 27.410 291.752 +0.702990 27.358 1 0.000 0 0.000000
215 808.074 27.410 291.752 +0.702990 27.358 1 0.000 0 0.000000
216 808.095 27.419 291.738 +0.697220 27.368 1 0.000 0 0.000000
217 808.095 27.419 291.738 +0.697220 27.368 1 0.000 0 0.000000
218 808.116 27.429 291.724 +0.691460 27.377 1 0.000 0 0.000000
219 808.137 27.438 291.710 +0.685684 27.387 1 0.000 0 0.000000
220 808.137 27.438 291.710 +0.685684 27.387 1 0.000 0 0.000000
221 808.158 27.447 291.696 +0.679916 27.396 1 0.000 0 0.000000
222 808.158 27.447 291.696 +0.679916 27.396 1 0.000 0 0.000000
223 808.179 27.457 291.682 +0.674122 27.405 1 0.000 0 0.000000
224 808.179 27.457 291.682 +0.674122 27.405 1 0.000 0 0.000000
225 808.199 27.467 291.669 +0.668335 27.415 1 0.000 0 0.000000
226 808.220 27.476 291.655 +0.662506 27.424 1 0.000 0 0.000000
227 808.220 27.476 291.655 +0.662506 27.424 1 0.000 0 0.000000
228 808.241 27.486 291.641 +0.656662 27.434 1 0.000 0 0.000000
229 808.262 27.495 291.627 +0.650824 27.443 1 0.000 0 0.000000
230 808.262 27.495 291.627 +0.650824 27.443 1 0.000 0 0.000000
231 808.282 27.505 291.613 +0.644978 27.453 1 0.000 0 0.000000
232 808.282 27.505 291.613 +0.644978 27.453 1 0.000 0 0.000000
233 808.303 27.514 291.599 +0.639126 27.462 1 0.000 0 0.000000
234 808.324 27.524 291.585 +0.633259 27.471 1 0.000 0 0.000000
235 808.324 27.524 291.585 +0.633259 27.471 1 0.000 0 0.000000
236 808.345 27.533 291.572 +0.627394 27.481 1 0.000 0 0.000000
237 808.345 27.533 291.572 +0.627394 27.481 1 0.000 0 0.000000
238 808.365 27.543 291.558 +0.621424 27.490 1 0.000 0 0.000000
239 808.365 27.543 291.558 +0.621424 27.490 1 0.000 0 0.000000
240 808.386 27.553 291.544 +0.615465 27.500 1 0.000 0 0.000000
241 808.406 27.562 291.530 +0.609489 27.509 1 0.000 0 0.000000
242 808.406 27.562 291.530 +0.609489 27.509 1 0.000 0 0.000000
243 808.427 27.572 291.516 +0.603519 27.519 1 0.000 0 0.000000
244 808.427 27.572 291.516 +0.603519 27.519 1 0.000 0 0.000000
245 808.427 27.572 291.516 +0.603519 27.519 1 0.000 0 0.000000
246 808.448 27.582 291.502 +0.597538 27.528 1 0.000 0 0.000000
247 808.468 27.592 291.488 +0.591557 27.537 1 0.000 0 0.000000
248 808.468 27.592 291.488 +0.591557 27.537 1 0.000 0 0.000000
249 808.489 27.601 291.474 +0.585722 27.547 1 0.000 0 0.000000
250 808.489 27.601 291.474 +0.585722 27.547 1 0.000 0 0.000000
251 808.509 27.611 291.460 +0.579851 27.557 1 0.000 0 0.000000
252 808.509 27.611 291.460 +0.579851 27.557 1 0.000 0 0.000000
253 808.530 27.620 291.446 +0.573969 27.566 1 0.000 0 0.000000
254 808.551 27.630 291.432 +0.568081 27.576 1 0.000 0 0.000000
255 808.551 27.630 291.432 +0.568081 27.576 1 0.000 0 0.000000
256 808.551 27.630 291.432 +0.568081 27.576 1 0.000 0 0.000000
257 808.592 27.649 291.404 +0.556295 27.595 1 0.000 0 0.000000
258 808.592 27.649 291.404 +0.556295 27.595 1 0.000 0 0.000000
259 808.612 27.659 291.390 +0.550383 27.604 1 0.000 0 0.000000
260 808.612 27.659 291.390 +0.550383 27.604 1 0.000 0 0.000000
261 808.633 27.668 291.376 +0.544476 27.614 1 0.000 0 0.000000
262 808.633 27.668 291.376 +0.544476 27.614 1 0.000 0 0.000000
263 808.653 27.678 291.362 +0.538555 27.623 1 0.000 0 0.000000
264 808.653 27.678 291.362 +0.538555 27.623 1 0.000 0 0.000000
265 808.674 27.688 291.348 +0.532627 27.633 1 0.000 0 0.000000
266 808.674 27.688 291.348 +0.532627 27.633 1 0.000 0 0.000000
267 808.694 27.697 291.334 +0.526693 27.643 1 0.000 0 0.000000
268 808.694 27.697 291.334 +0.526693 27.643 1 0.000 0 0.000000
269 808.715 27.707 291.319 +0.520761 27.652 1 0.000 0 0.000000
270 808.735 27.716 291.305 +0.514809 27.662 1 0.000 0 0.000000
271 808.735 27.716 291.305 +0.514809 27.662 1 0.000 0 0.000000
272 808.776 27.736 291.277 +0.502903 27.681 1 0.000 0 0.000000
273 808.796 27.745 291.263 +0.496943 27.691 1 0.000 0 0.000000
274 808.796 27.745 291.263 +0.496943 27.691 1 0.000 0 0.000000
275 808.816 27.755 291.248 +0.490965 27.700 1 0.000 0 0.000000
276 808.816 27.755 291.248 +0.490965 27.700 1 0.000 0 0.000000
277 808.837 27.765 291.234 +0.484989 27.710 1 0.000 0 0.000000
278 808.837 27.765 291.234 +0.484989 27.710 1 0.000 0 0.000000
279 808.857 27.775 291.220 +0.478945 27.719 1 0.000 0 0.000000
280 808.877 27.784 291.206 +0.472895 27.729 1 0.000 0 0.000000
281 808.877 27.784 291.206 +0.472895 27.729 1 0.000 0 0.000000
282 808.897 27.794 291.191 +0.466837 27.739 1 0.000 0 0.000000
283 808.897 27.794 291.191 +0.466837 27.739 1 0.000 0 0.000000
284 808.918 27.804 291.177 +0.460772 27.748 1 0.000 0 0.000000
285 808.918 27.804 291.177 +0.460772 27.748 1 0.000 0 0.000000
286 808.938 27.814 291.163 +0.454708 27.758 1 0.000 0 0.000000
