# call qx qy qz carve_dist ground_y above_ground path_m path_measured darkness
0 797.419 26.300 298.941 -0.023834 22.934 1 0.000 0 0.000000
1 797.470 26.292 298.973 -0.012646 22.929 1 0.000 0 0.000000
2 797.610 26.224 299.026 +0.065466 22.925 1 0.000 0 0.000000
3 797.759 26.087 299.042 +0.214539 22.936 1 0.000 0 0.000000
4 797.906 25.883 299.019 +0.433516 22.961 1 0.000 0 0.000000
5 798.043 25.611 298.958 +0.721098 22.999 1 0.000 0 0.000000
6 798.161 25.270 298.866 +1.075932 23.047 1 0.000 0 0.000000
7 798.275 24.861 298.768 +1.497482 23.096 1 0.000 0 0.000000
8 798.389 24.384 298.671 +1.985773 23.146 1 0.000 0 0.000000
9 798.503 23.839 298.573 +2.540800 23.195 1 0.000 0 0.000000
10 798.612 23.274 298.494 +3.113989 23.238 1 0.000 0 0.000000
11 798.719 23.315 298.417 +3.091749 23.279 1 0.000 0 0.000000
12 798.826 23.357 298.340 +3.069416 23.321 1 0.000 0 0.000000
13 798.933 23.399 298.263 +3.047020 23.363 1 0.000 0 0.000000
14 799.039 23.441 298.186 +3.024525 23.405 1 0.000 0 0.000000
15 799.145 23.484 298.109 +3.001095 23.447 1 0.000 0 0.000000
16 799.251 23.526 298.031 +2.977684 23.490 1 0.000 0 0.000000
17 799.356 23.569 297.954 +2.954178 23.532 1 0.000 0 0.000000
18 799.461 23.612 297.875 +2.930580 23.575 1 0.000 0 0.000000
19 799.565 23.655 297.797 +2.907272 23.618 1 0.000 0 0.000000
20 799.670 23.698 297.718 +2.883406 23.661 1 0.000 0 0.000000
21 799.774 23.742 297.640 +2.859228 23.705 1 0.000 0 0.000000
22 799.815 23.759 297.608 +2.849524 23.722 1 0.000 0 0.000000
23 799.836 23.768 297.592 +2.844515 23.731 1 0.000 0 0.000000
24 799.877 23.785 297.561 +2.834623 23.748 1 0.000 0 0.000000
25 799.918 23.803 297.529 +2.824724 23.765 1 0.000 0 0.000000
26 799.939 23.812 297.513 +2.819754 23.774 1 0.000 0 0.000000
27 799.980 23.829 297.482 +2.809822 23.792 1 0.000 0 0.000000
28 800.000 23.838 297.466 +2.804853 23.800 1 0.000 0 0.000000
29 800.042 23.856 297.434 +2.794886 23.818 1 0.000 0 0.000000
30 800.042 23.856 297.434 +2.794886 23.818 1 0.000 0 0.000000
31 800.042 23.856 297.434 +2.794886 23.818 1 0.000 0 0.000000
32 800.062 23.865 297.418 +2.789898 23.827 1 0.000 0 0.000000
33 800.103 23.883 297.387 +2.779049 23.844 1 0.000 0 0.000000
34 800.123 23.892 297.372 +2.773638 23.853 1 0.000 0 0.000000
35 800.143 23.902 297.356 +2.768208 23.861 1 0.000 0 0.000000
36 800.163 23.911 297.341 +2.762787 23.870 1 0.000 0 0.000000
37 800.204 23.928 297.309 +2.753258 23.888 1 0.000 0 0.000000
38 800.225 23.937 297.293 +2.748274 23.897 1 0.000 0 0.000000
39 800.265 23.955 297.260 +2.738289 23.914 1 0.000 0 0.000000
40 800.286 23.963 297.244 +2.733286 23.923 1 0.000 0 0.000000
41 800.286 23.963 297.244 +2.733286 23.923 1 0.000 0 0.000000
42 800.306 23.972 297.228 +2.728279 23.932 1 0.000 0 0.000000
43 800.347 23.990 297.196 +2.718239 23.950 1 0.000 0 0.000000
44 800.367 23.999 297.180 +2.712986 23.959 1 0.000 0 0.000000
45 800.407 24.017 297.148 +2.703161 23.977 1 0.000 0 0.000000
46 800.448 24.034 297.115 +2.693081 23.995 1 0.000 0 0.000000
47 800.468 24.043 297.099 +2.688028 24.004 1 0.000 0 0.000000
48 800.508 24.061 297.067 +2.677902 24.022 1 0.000 0 0.000000
49 800.548 24.079 297.034 +2.667561 24.040 1 0.000 0 0.000000
50 800.588 24.097 297.002 +2.657131 24.058 1 0.000 0 0.000000
51 800.608 24.106 296.985 +2.651886 24.067 1 0.000 0 0.000000
52 800.648 24.124 296.953 +2.641380 24.085 1 0.000 0 0.000000
53 800.667 24.133 296.936 +2.636112 24.094 1 0.000 0 0.000000
54 800.707 24.151 296.904 +2.625515 24.112 1 0.000 0 0.000000
55 800.766 24.179 296.855 +2.609478 24.139 1 0.000 0 0.000000
56 800.805 24.197 296.822 +2.598766 24.158 1 0.000 0 0.000000
57 800.845 24.216 296.789 +2.588009 24.176 1 0.000 0 0.000000
58 800.884 24.234 296.756 +2.577230 24.194 1 0.000 0 0.000000
59 800.942 24.261 296.706 +2.560989 24.222 1 0.000 0 0.000000
60 800.942 24.261 296.706 +2.560989 24.222 1 0.000 0 0.000000
61 800.942 24.261 296.706 +2.560989 24.222 1 0.000 0 0.000000
62 800.961 24.271 296.689 +2.555569 24.231 1 0.000 0 0.000000
63 801.000 24.289 296.656 +2.544554 24.250 1 0.000 0 0.000000
