# Daggerfall N per-frame ENVIRONMENT log -- one line per
# PRESENTED frame, taken at the set_environment() call.
# frame dark lights sun_x sun_y sun_z sun_lum amb_lum moon_light eye_x eye_y eye_z
0 0.000000 0 0.7917 0.5055 0.3431 0.9627 0.3586 0.0000 797.581 27.985 299.030
1 0.000000 0 0.7899 0.5085 0.3427 0.9627 0.3586 0.0000 797.713 27.919 299.052
2 0.000000 0 0.7896 0.5091 0.3426 0.9627 0.3586 0.0000 797.880 27.762 299.037
3 0.000000 0 0.7892 0.5098 0.3425 0.9627 0.3586 0.0000 798.014 27.563 298.987
4 0.000000 0 0.7887 0.5105 0.3424 0.9627 0.3586 0.0000 798.142 27.278 298.897
5 0.000000 0 0.7885 0.5110 0.3423 0.9627 0.3586 0.0000 798.258 26.901 298.783
6 0.000000 0 0.7880 0.5118 0.3422 0.9627 0.3586 0.0000 798.361 26.521 298.695
7 0.000000 0 0.7876 0.5125 0.3421 0.9627 0.3586 0.0000 798.466 26.082 298.605
8 0.000000 0 0.7873 0.5130 0.3421 0.9627 0.3586 0.0000 798.584 25.512 298.504
9 0.000000 0 0.7870 0.5134 0.3420 0.9627 0.3586 0.0000 798.698 24.970 298.421
10 0.000000 0 0.7868 0.5139 0.3419 0.9627 0.3586 0.0000 798.808 24.868 298.346
11 0.000000 0 0.7859 0.5153 0.3418 0.9627 0.3586 0.0000 798.906 24.973 298.280
12 0.000000 0 0.7857 0.5157 0.3417 0.9627 0.3586 0.0000 799.022 25.083 298.201
13 0.000000 0 0.7853 0.5164 0.3416 0.9627 0.3586 0.0000 799.132 25.126 298.122
14 0.000000 0 0.7849 0.5170 0.3415 0.9627 0.3586 0.0000 799.232 25.175 298.045
15 0.000000 0 0.7840 0.5184 0.3413 0.9627 0.3586 0.0000 799.339 25.229 297.960
16 0.000000 0 0.7835 0.5193 0.3412 0.9627 0.3586 0.0000 799.447 25.276 297.870
17 0.000000 0 0.7832 0.5198 0.3411 0.9627 0.3586 0.0000 799.548 25.310 297.785
18 0.000000 0 0.7830 0.5202 0.3411 0.9627 0.3586 0.0000 799.647 25.339 297.705
19 0.000000 0 0.7819 0.5220 0.3408 0.9627 0.3586 0.0000 799.740 25.373 297.632
20 0.000000 0 0.7816 0.5224 0.3408 0.9627 0.3586 0.0000 799.840 25.419 297.557
21 0.000000 0 0.7816 0.5225 0.3408 0.9627 0.3586 0.0000 799.889 25.444 297.522
22 0.000000 0 0.7816 0.5225 0.3408 0.9627 0.3586 0.0000 799.932 25.467 297.492
23 0.000000 0 0.7815 0.5226 0.3408 0.9627 0.3586 0.0000 799.997 25.502 297.446
24 0.000000 0 0.7815 0.5227 0.3407 0.9627 0.3586 0.0000 800.053 25.529 297.408
25 0.000000 0 0.7814 0.5228 0.3407 0.9627 0.3586 0.0000 800.114 25.556 297.367
26 0.000000 0 0.7814 0.5229 0.3407 0.9627 0.3586 0.0000 800.177 25.580 297.323
27 0.000000 0 0.7813 0.5230 0.3407 0.9627 0.3586 0.0000 800.238 25.601 297.281
28 0.000000 0 0.7813 0.5230 0.3407 0.9627 0.3586 0.0000 800.291 25.616 297.244
29 0.000000 0 0.7813 0.5230 0.3407 0.9627 0.3586 0.0000 800.296 25.618 297.240
30 0.000000 0 0.7813 0.5230 0.3407 0.9627 0.3586 0.0000 800.297 25.618 297.240
31 0.000000 0 0.7813 0.5230 0.3407 0.9627 0.3586 0.0000 800.298 25.618 297.239
32 0.000000 0 0.7813 0.5230 0.3407 0.9627 0.3586 0.0000 800.302 25.620 297.236
33 0.000000 0 0.7812 0.5230 0.3407 0.9627 0.3586 0.0000 800.307 25.621 297.232
34 0.000000 0 0.7812 0.5231 0.3407 0.9627 0.3586 0.0000 800.368 25.639 297.187
35 0.000000 0 0.7811 0.5232 0.3407 0.9627 0.3586 0.0000 800.424 25.659 297.144
36 0.000000 0 0.7811 0.5233 0.3407 0.9627 0.3586 0.0000 800.474 25.679 297.105
37 0.000000 0 0.7811 0.5234 0.3407 0.9627 0.3586 0.0000 800.523 25.702 297.065
38 0.000000 0 0.7810 0.5234 0.3406 0.9627 0.3586 0.0000 800.568 25.726 297.027
39 0.000000 0 0.7810 0.5235 0.3406 0.9627 0.3586 0.0000 800.619 25.755 296.983
40 0.000000 0 0.7809 0.5236 0.3406 0.9627 0.3586 0.0000 800.659 25.780 296.946
41 0.000000 0 0.7809 0.5236 0.3406 0.9627 0.3586 0.0000 800.694 25.802 296.914
42 0.000000 0 0.7809 0.5236 0.3406 0.9627 0.3586 0.0000 800.698 25.804 296.911
43 0.000000 0 0.7809 0.5236 0.3406 0.9627 0.3586 0.0000 800.698 25.804 296.911
44 0.000000 0 0.7809 0.5236 0.3406 0.9627 0.3586 0.0000 800.703 25.807 296.906
45 0.000000 0 0.7809 0.5236 0.3406 0.9627 0.3586 0.0000 800.712 25.813 296.897
46 0.000000 0 0.7808 0.5237 0.3406 0.9627 0.3586 0.0000 800.759 25.840 296.854
47 0.000000 0 0.7808 0.5238 0.3406 0.9627 0.3586 0.0000 800.812 25.867 296.804
48 0.000000 0 0.7807 0.5239 0.3406 0.9627 0.3586 0.0000 800.858 25.888 296.760
49 0.000000 0 0.7807 0.5240 0.3406 0.9627 0.3586 0.0000 800.910 25.909 296.710
50 0.000000 0 0.7806 0.5240 0.3406 0.9627 0.3586 0.0000 800.955 25.925 296.667
51 0.000000 0 0.7806 0.5241 0.3406 0.9627 0.3586 0.0000 801.001 25.941 296.624
52 0.000000 0 0.7806 0.5242 0.3405 0.9627 0.3586 0.0000 801.048 25.959 296.580
53 0.000000 0 0.7805 0.5243 0.3405 0.9627 0.3586 0.0000 801.101 25.982 296.533
54 0.000000 0 0.7805 0.5243 0.3405 0.9627 0.3586 0.0000 801.107 25.984 296.528
55 0.000000 0 0.7805 0.5243 0.3405 0.9627 0.3586 0.0000 801.107 25.984 296.527
56 0.000000 0 0.7805 0.5243 0.3405 0.9627 0.3586 0.0000 801.108 25.985 296.527
57 0.000000 0 0.7805 0.5243 0.3405 0.9627 0.3586 0.0000 801.115 25.988 296.520
58 0.000000 0 0.7804 0.5244 0.3405 0.9627 0.3586 0.0000 801.171 26.016 296.472
59 0.000000 0 0.7804 0.5244 0.3405 0.9627 0.3586 0.0000 801.227 26.048 296.424
60 0.000000 0 0.7803 0.5245 0.3405 0.9627 0.3586 0.0000 801.288 26.079 296.387
61 0.000000 0 0.7803 0.5246 0.3405 0.9627 0.3586 0.0000 801.365 26.115 296.351
62 0.000000 0 0.7802 0.5247 0.3405 0.9627 0.3586 0.0000 801.429 26.144 296.316
63 0.000000 0 0.7802 0.5248 0.3405 0.9627 0.3586 0.0000 801.494 26.172 296.280
64 0.000000 0 0.7801 0.5249 0.3405 0.9627 0.3586 0.0000 801.560 26.196 296.245
65 0.000000 0 0.7801 0.5249 0.3404 0.9627 0.3586 0.0000 801.618 26.213 296.213
66 0.000000 0 0.7801 0.5249 0.3404 0.9627 0.3586 0.0000 801.623 26.215 296.210
