# call qx qy qz carve_dist ground_y open_to_sky path_m path_measured darkness roof_y
0 797.419 26.300 298.941 -0.023834 22.934 1 0.000 0 0.000000 30.476
1 797.497 26.284 298.986 -0.002741 22.927 1 0.000 0 0.000000 30.481
2 797.639 26.202 299.033 +0.089636 22.926 0 0.000 0 0.000000 -1000000000.000
3 797.789 26.052 299.040 +0.252781 22.940 0 0.000 0 0.000000 -1000000000.000
4 797.935 25.834 299.009 +0.485588 22.968 0 0.000 0 0.000000 -1000000000.000
5 798.068 25.548 298.942 +0.786722 23.008 0 0.000 0 0.000000 -1000000000.000
6 798.184 25.194 298.847 +1.154902 23.057 0 0.000 0 0.000000 -1000000000.000
7 798.298 24.771 298.749 +1.589802 23.106 0 0.000 0 0.000000 -1000000000.000
8 798.412 24.281 298.651 +2.091438 23.156 0 0.000 0 0.000000 -1000000000.000
9 798.526 23.722 298.554 +2.659813 23.205 0 0.000 0 0.000000 -1000000000.000
10 798.633 23.282 298.479 +3.109547 23.246 0 0.000 0 0.000000 -1000000000.000
11 798.740 23.324 298.402 +3.087284 23.288 0 0.000 0 0.000000 -1000000000.000
12 798.847 23.365 298.325 +3.064936 23.329 0 0.000 0 0.000000 -1000000000.000
13 798.954 23.407 298.248 +3.042507 23.371 0 0.000 0 0.000000 -1000000000.000
14 799.060 23.450 298.171 +3.019724 23.414 0 0.000 0 0.000000 -1000000000.000
15 799.166 23.492 298.093 +2.996395 23.456 0 0.000 0 0.000000 -1000000000.000
16 799.272 23.535 298.016 +2.972967 23.498 0 0.000 0 0.000000 -1000000000.000
17 799.377 23.578 297.938 +2.949442 23.541 0 0.000 0 0.000000 -1000000000.000
18 799.482 23.621 297.860 +2.925856 23.583 0 0.000 0 0.000000 -1000000000.000
19 799.586 23.664 297.781 +2.902573 23.627 0 0.000 0 0.000000 -1000000000.000
20 799.691 23.707 297.703 +2.878555 23.670 0 0.000 0 0.000000 -1000000000.000
21 799.794 23.750 297.624 +2.854355 23.713 0 0.000 0 0.000000 -1000000000.000
22 799.836 23.768 297.592 +2.844494 23.731 0 0.000 0 0.000000 -1000000000.000
23 799.877 23.785 297.561 +2.834604 23.748 0 0.000 0 0.000000 -1000000000.000
24 799.939 23.812 297.514 +2.819736 23.774 0 0.000 0 0.000000 -1000000000.000
25 800.000 23.838 297.466 +2.804838 23.800 0 0.000 0 0.000000 -1000000000.000
26 800.042 23.856 297.434 +2.794872 23.818 0 0.000 0 0.000000 -1000000000.000
27 800.103 23.883 297.387 +2.779047 23.844 0 0.000 0 0.000000 -1000000000.000
28 800.163 23.911 297.341 +2.762806 23.870 0 0.000 0 0.000000 -1000000000.000
29 800.225 23.937 297.293 +2.748287 23.897 0 0.000 0 0.000000 -1000000000.000
30 800.225 23.937 297.293 +2.748287 23.897 0 0.000 0 0.000000 -1000000000.000
31 800.225 23.937 297.293 +2.748287 23.897 0 0.000 0 0.000000 -1000000000.000
32 800.225 23.937 297.293 +2.748287 23.897 0 0.000 0 0.000000 -1000000000.000
33 800.225 23.937 297.293 +2.748287 23.897 0 0.000 0 0.000000 -1000000000.000
34 800.245 23.946 297.277 +2.743301 23.905 0 0.000 0 0.000000 -1000000000.000
35 800.286 23.963 297.245 +2.733301 23.923 0 0.000 0 0.000000 -1000000000.000
36 800.347 23.990 297.196 +2.718254 23.950 0 0.000 0 0.000000 -1000000000.000
37 800.407 24.016 297.148 +2.703176 23.977 0 0.000 0 0.000000 -1000000000.000
38 800.448 24.034 297.115 +2.693096 23.995 0 0.000 0 0.000000 -1000000000.000
39 800.488 24.052 297.083 +2.682983 24.013 0 0.000 0 0.000000 -1000000000.000
40 800.548 24.079 297.034 +2.667574 24.040 0 0.000 0 0.000000 -1000000000.000
41 800.588 24.097 297.002 +2.657156 24.058 0 0.000 0 0.000000 -1000000000.000
42 800.628 24.115 296.969 +2.646666 24.076 0 0.000 0 0.000000 -1000000000.000
43 800.628 24.115 296.969 +2.646666 24.076 0 0.000 0 0.000000 -1000000000.000
44 800.628 24.115 296.969 +2.646666 24.076 0 0.000 0 0.000000 -1000000000.000
45 800.628 24.115 296.969 +2.646666 24.076 0 0.000 0 0.000000 -1000000000.000
46 800.648 24.124 296.953 +2.641409 24.085 0 0.000 0 0.000000 -1000000000.000
47 800.687 24.142 296.920 +2.630880 24.103 0 0.000 0 0.000000 -1000000000.000
48 800.747 24.170 296.871 +2.614868 24.130 0 0.000 0 0.000000 -1000000000.000
49 800.805 24.197 296.822 +2.598795 24.158 0 0.000 0 0.000000 -1000000000.000
50 800.864 24.225 296.772 +2.582645 24.185 0 0.000 0 0.000000 -1000000000.000
51 800.903 24.243 296.739 +2.571850 24.204 0 0.000 0 0.000000 -1000000000.000
52 800.942 24.261 296.706 +2.561010 24.222 0 0.000 0 0.000000 -1000000000.000
53 801.000 24.289 296.656 +2.544573 24.250 0 0.000 0 0.000000 -1000000000.000
54 801.058 24.317 296.606 +2.527985 24.277 0 0.000 0 0.000000 -1000000000.000
55 801.058 24.317 296.606 +2.527985 24.277 0 0.000 0 0.000000 -1000000000.000
56 801.058 24.317 296.606 +2.527985 24.277 0 0.000 0 0.000000 -1000000000.000
57 801.058 24.317 296.606 +2.527985 24.277 0 0.000 0 0.000000 -1000000000.000
58 801.077 24.326 296.589 +2.522446 24.287 0 0.000 0 0.000000 -1000000000.000
59 801.116 24.345 296.556 +2.511330 24.305 0 0.000 0 0.000000 -1000000000.000
60 801.173 24.373 296.506 +2.494574 24.333 0 0.000 0 0.000000 -1000000000.000
61 801.233 24.400 296.458 +2.478739 24.360 0 0.000 0 0.000000 -1000000000.000
62 801.300 24.426 296.417 +2.464457 24.386 0 0.000 0 0.000000 -1000000000.000
63 801.366 24.452 296.375 +2.449932 24.411 0 0.000 0 0.000000 -1000000000.000
64 801.432 24.478 296.334 +2.435383 24.436 0 0.000 0 0.000000 -1000000000.000
65 801.498 24.504 296.293 +2.421185 24.462 0 0.000 0 0.000000 -1000000000.000
66 801.542 24.521 296.265 +2.411762 24.479 0 0.000 0 0.000000 -1000000000.000
67 801.542 24.521 296.265 +2.411762 24.479 0 0.000 0 0.000000 -1000000000.000
68 801.542 24.521 296.265 +2.411762 24.479 0 0.000 0 0.000000 -1000000000.000
69 801.542 24.521 296.265 +2.411762 24.479 0 0.000 0 0.000000 -1000000000.000
70 801.565 24.530 296.251 +2.407042 24.487 0 0.000 0 0.000000 -1000000000.000
71 801.631 24.556 296.209 +2.392868 24.513 0 0.000 0 0.000000 -1000000000.000
72 801.675 24.573 296.181 +2.383396 24.530 0 0.000 0 0.000000 -1000000000.000
73 801.719 24.590 296.153 +2.373922 24.547 0 0.000 0 0.000000 -1000000000.000
74 801.763 24.607 296.126 +2.364439 24.564 0 0.000 0 0.000000 -1000000000.000
75 801.829 24.633 296.084 +2.350176 24.590 0 0.000 0 0.000000 -1000000000.000
76 801.895 24.659 296.042 +2.335897 24.616 0 0.000 0 0.000000 -1000000000.000
77 801.961 24.684 295.999 +2.321791 24.642 0 0.000 0 0.000000 -1000000000.000
78 802.027 24.710 295.957 +2.307596 24.668 0 0.000 0 0.000000 -1000000000.000
79 802.027 24.710 295.957 +2.307596 24.668 0 0.000 0 0.000000 -1000000000.000
80 802.027 24.710 295.957 +2.307596 24.668 0 0.000 0 0.000000 -1000000000.000
81 802.027 24.710 295.957 +2.307596 24.668 0 0.000 0 0.000000 -1000000000.000
82 802.049 24.719 295.943 +2.302860 24.677 0 0.000 0 0.000000 -1000000000.000
83 802.115 24.744 295.900 +2.288637 24.703 0 0.000 0 0.000000 -1000000000.000
84 802.180 24.770 295.858 +2.274376 24.729 0 0.000 0 0.000000 -1000000000.000
85 802.268 24.805 295.801 +2.255320 24.764 0 0.000 0 0.000000 -1000000000.000
86 802.333 24.831 295.759 +2.240650 24.790 0 0.000 0 0.000000 -1000000000.000
87 802.420 24.866 295.703 +2.220701 24.825 0 0.000 0 0.000000 -1000000000.000
88 802.485 24.893 295.661 +2.205791 24.851 0 0.000 0 0.000000 -1000000000.000
89 802.550 24.919 295.618 +2.191000 24.878 0 0.000 0 0.000000 -1000000000.000
90 802.615 24.945 295.576 +2.176159 24.904 0 0.000 0 0.000000 -1000000000.000
91 802.615 24.945 295.576 +2.176159 24.904 0 0.000 0 0.000000 -1000000000.000
92 802.615 24.945 295.576 +2.176159 24.904 0 0.000 0 0.000000 -1000000000.000
93 802.615 24.945 295.576 +2.176159 24.904 0 0.000 0 0.000000 -1000000000.000
94 802.637 24.954 295.562 +2.171207 24.913 0 0.000 0 0.000000 -1000000000.000
95 802.680 24.971 295.533 +2.161297 24.930 0 0.000 0 0.000000 -1000000000.000
96 802.745 24.998 295.491 +2.146395 24.957 0 0.000 0 0.000000 -1000000000.000
97 802.831 25.033 295.434 +2.126476 24.992 0 0.000 0 0.000000 -1000000000.000
98 802.896 25.060 295.391 +2.111507 25.019 0 0.000 0 0.000000 -1000000000.000
99 802.961 25.086 295.348 +2.096422 25.045 0 0.000 0 0.000000 -1000000000.000
100 803.046 25.122 295.291 +2.076216 25.081 0 0.000 0 0.000000 -1000000000.000
101 803.111 25.148 295.247 +2.061016 25.108 0 0.000 0 0.000000 -1000000000.000
102 803.175 25.175 295.204 +2.045773 25.135 0 0.000 0 0.000000 -1000000000.000
103 803.196 25.184 295.190 +2.040529 25.144 0 0.000 0 0.000000 -1000000000.000
104 803.281 25.220 295.133 +2.019722 25.179 0 0.000 0 0.000000 -1000000000.000
105 803.345 25.247 295.089 +2.004076 25.206 0 0.000 0 0.000000 -1000000000.000
106 803.430 25.283 295.032 +1.983152 25.242 0 0.000 0 0.000000 -1000000000.000
107 803.493 25.310 294.988 +1.967495 25.270 0 0.000 0 0.000000 -1000000000.000
108 803.578 25.346 294.930 +1.946667 25.306 0 0.000 0 0.000000 -1000000000.000
109 803.641 25.373 294.886 +1.930990 25.333 0 0.000 0 0.000000 -1000000000.000
110 803.704 25.401 294.842 +1.915115 25.360 0 0.000 0 0.000000 -1000000000.000
111 803.767 25.428 294.799 +1.898886 25.388 0 0.000 0 0.000000 -1000000000.000
112 803.767 25.428 294.799 +1.898886 25.388 0 0.000 0 0.000000 -1000000000.000
113 803.767 25.428 294.799 +1.898886 25.388 0 0.000 0 0.000000 -1000000000.000
114 803.767 25.428 294.799 +1.898886 25.388 0 0.000 0 0.000000 -1000000000.000
115 803.788 25.437 294.784 +1.893471 25.397 0 0.000 0 0.000000 -1000000000.000
116 803.850 25.465 294.740 +1.877176 25.424 0 0.000 0 0.000000 -1000000000.000
117 803.913 25.493 294.696 +1.860855 25.451 0 0.000 0 0.000000 -1000000000.000
118 803.996 25.530 294.638 +1.838953 25.488 0 0.000 0 0.000000 -1000000000.000
119 804.078 25.567 294.579 +1.816793 25.525 0 0.000 0 0.000000 -1000000000.000
120 804.161 25.604 294.520 +1.794544 25.562 0 0.000 0 0.000000 -1000000000.000
121 804.202 25.623 294.491 +1.783390 25.580 0 0.000 0 0.000000 -1000000000.000
122 804.284 25.660 294.431 +1.761047 25.617 0 0.000 0 0.000000 -1000000000.000
123 804.366 25.698 294.372 +1.738638 25.654 0 0.000 0 0.000000 -1000000000.000
124 804.366 25.698 294.372 +1.738638 25.654 0 0.000 0 0.000000 -1000000000.000
125 804.386 25.707 294.357 +1.733007 25.663 0 0.000 0 0.000000 -1000000000.000
126 804.447 25.735 294.312 +1.716106 25.691 0 0.000 0 0.000000 -1000000000.000
127 804.529 25.773 294.252 +1.693781 25.729 0 0.000 0 0.000000 -1000000000.000
128 804.610 25.810 294.191 +1.671398 25.767 0 0.000 0 0.000000 -1000000000.000
129 804.691 25.848 294.131 +1.648926 25.805 0 0.000 0 0.000000 -1000000000.000
130 804.751 25.876 294.085 +1.632002 25.833 0 0.000 0 0.000000 -1000000000.000
131 804.811 25.905 294.039 +1.614594 25.861 0 0.000 0 0.000000 -1000000000.000
132 804.871 25.933 293.994 +1.597420 25.890 0 0.000 0 0.000000 -1000000000.000
133 804.911 25.952 293.963 +1.585657 25.909 0 0.000 0 0.000000 -1000000000.000
134 804.931 25.962 293.948 +1.579769 25.918 0 0.000 0 0.000000 -1000000000.000
135 804.991 25.991 293.902 +1.562046 25.947 0 0.000 0 0.000000 -1000000000.000
136 805.070 26.029 293.841 +1.538301 25.985 0 0.000 0 0.000000 -1000000000.000
137 805.129 26.059 293.795 +1.520391 26.014 0 0.000 0 0.000000 -1000000000.000
138 805.227 26.107 293.718 +1.490396 26.062 0 0.000 0 0.000000 -1000000000.000
139 805.304 26.146 293.656 +1.466042 26.100 0 0.000 0 0.000000 -1000000000.000
140 805.362 26.176 293.610 +1.447872 26.129 0 0.000 0 0.000000 -1000000000.000
141 805.420 26.205 293.563 +1.429403 26.158 0 0.000 0 0.000000 -1000000000.000
