tick,eye_x,eye_y,eye_z,yaw,pitch,hit,distance_m,verb,prompt_key,entity
0,128.0052,21.3129,127.9001,0.0524,0.0000,1,2.3033,2,6470162748931763667,5
1,128.0105,21.3074,127.9006,0.1047,0.0000,1,2.3132,2,6470162748931763667,5
2,128.0156,21.2992,127.9012,0.1571,0.0000,1,2.3299,2,6470162748931763667,5
3,128.0208,21.2883,127.9022,0.2094,0.0000,1,2.3536,2,6470162748931763667,5
4,128.0259,21.2747,127.9034,0.2618,0.0000,1,2.3847,2,6470162748931763667,5
5,128.0309,21.2584,127.9049,0.3142,0.0000,1,2.4235,2,6470162748931763667,5
6,128.0358,21.2393,127.9066,0.3665,0.0000,0,0.0000,0,0,4294967295
7,128.0407,21.2175,127.9086,0.4189,0.0000,0,0.0000,0,0,4294967295
8,128.0454,21.1930,127.9109,0.4712,0.0000,0,0.0000,0,0,4294967295
9,128.0500,21.1657,127.9134,0.5236,0.0000,0,0.0000,0,0,4294967295
10,128.0545,21.1357,127.9161,0.5760,0.0000,0,0.0000,0,0,4294967295
11,128.0588,21.1030,127.9191,0.6283,0.0000,0,0.0000,0,0,4294967295
12,128.0645,21.1009,127.9231,0.6807,0.0000,0,0.0000,0,0,4294967295
13,128.0687,21.0968,127.9266,0.7330,0.0000,0,0.0000,0,0,4294967295
14,128.0726,21.0870,127.9302,0.7854,0.0000,0,0.0000,0,0,4294967295
15,128.0763,21.0754,127.9341,0.8378,0.0000,0,0.0000,0,0,4294967295
16,128.0799,21.0657,127.9381,0.8901,0.0000,0,0.0000,0,0,4294967295
17,128.0832,21.0616,127.9423,0.9425,0.0000,0,0.0000,0,0,4294967295
18,128.0863,21.0625,127.9467,0.9948,0.0000,0,0.0000,0,0,4294967295
19,128.0892,21.0653,127.9512,1.0472,0.0000,0,0.0000,0,0,4294967295
20,128.0918,21.0697,127.9559,1.0996,0.0000,0,0.0000,0,0,4294967295
21,128.0942,21.0751,127.9607,1.1519,0.0000,0,0.0000,0,0,4294967295
22,128.0963,21.0812,127.9656,1.2043,0.0000,0,0.0000,0,0,4294967295
23,128.0982,21.0872,127.9706,1.2566,0.0000,0,0.0000,0,0,4294967295
24,128.0999,21.0927,127.9757,1.3090,0.0000,0,0.0000,0,0,4294967295
25,128.1012,21.0970,127.9808,1.3614,0.0000,0,0.0000,0,0,4294967295
26,128.1023,21.0998,127.9860,1.4137,0.0000,0,0.0000,0,0,4294967295
