# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
0 38.2512 864.038251 0.000000 1.31066990 128.009857 22.550280 127.870911 0.067810 0.000000
1 127.8705 864.166122 0.000000 1.33854449 128.190109 22.474771 127.286469 0.364807 0.000000
2 145.6150 864.311737 5.987913 1.35588825 128.471817 22.375101 126.870041 0.612831 0.000000
3 100.3768 864.412114 5.986022 1.36988926 128.875046 22.345333 126.537643 0.875814 0.000000
4 116.0825 864.528196 5.988150 1.38038075 129.339691 22.356533 126.332260 1.135778 0.000000
5 306.2626 864.834459 5.984507 1.38752460 129.774689 22.383455 126.251640 1.364892 0.000000
6 167.3695 865.001828 5.988173 1.39384139 130.280548 22.425591 126.274391 1.628084 0.000000
7 116.9768 865.118805 5.981931 1.39860511 130.783569 22.447727 126.313843 1.668053 0.000000
8 156.0194 865.274824 4.432538 1.39818394 131.284912 22.773331 126.290634 1.671013 0.000000
9 2.8596 865.277684 4.432538 1.39795971 131.297699 22.778828 126.290726 1.671028 0.000000
10 14.2361 865.291920 5.280806 1.39746845 131.368591 22.800127 126.291199 1.671186 0.000000
11 2.8539 865.294774 5.280806 1.39745259 131.383743 22.803596 126.291283 1.671228 0.000000
12 5.4384 865.300212 5.619212 1.39742792 131.412735 22.810062 126.291466 1.671310 0.000000
13 8.2904 865.308503 5.619212 1.39761078 131.459564 22.814491 126.291626 1.671486 0.000000
14 8.3663 865.316869 5.893277 1.39779961 131.506866 22.818892 126.291870 1.671665 0.000000
15 8.6433 865.325512 5.893277 1.39817142 131.557922 22.820591 126.294769 1.671889 0.000000
16 8.0410 865.333553 6.000113 1.39851868 131.605453 22.821814 126.297501 1.672093 0.000000
17 8.5919 865.342145 6.000113 1.39894247 131.656937 22.809410 126.302277 1.672186 0.000000
18 8.0665 865.350212 6.000113 1.39933980 131.705276 22.797638 126.306778 1.672271 0.000000
19 8.6278 865.358839 6.000113 1.39974236 131.756927 22.780144 126.311844 1.672271 0.000000
20 8.4154 865.367255 6.000113 1.40013349 131.807312 22.764202 126.316803 1.672271 0.000000
21 7.9552 865.375210 6.000113 1.40048468 131.854904 22.763294 126.321747 1.672271 0.000000
22 8.3997 865.383610 6.000113 1.40085483 131.905151 22.759384 126.326958 1.672271 0.000000
23 8.2720 865.391882 6.000113 1.40120018 131.954620 22.670149 126.332382 1.672271 0.000000
