# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
0 48.3005 864.048300 0.000000 1.30900002 128.000000 22.546993 127.900009 0.000000 0.000000
1 149.0499 864.197350 0.000000 1.30900002 128.000000 22.481346 127.900002 0.000000 0.000000
2 159.2620 864.356612 0.028025 1.30900002 127.999863 22.367960 127.900116 0.000000 0.000000
3 110.9708 864.467583 0.004578 1.30900002 127.999382 22.325169 127.900475 0.000000 0.000000
4 131.2333 864.598817 0.004578 1.30900002 127.999023 22.339211 127.900749 0.000000 0.000000
5 339.6792 864.938496 0.004578 1.30900002 127.998764 22.356972 127.900948 0.000000 0.000000
6 184.2382 865.122734 0.004578 1.30900002 127.998459 22.357567 127.901176 0.000000 0.000000
7 131.2505 865.253985 0.004578 1.30900002 127.998154 22.357559 127.901405 0.000000 0.000000
8 177.9728 865.431957 0.004578 1.30900002 127.997810 22.357546 127.901657 0.000000 0.000000
9 3.6100 865.435567 0.004578 1.30900002 127.997795 22.357544 127.901672 0.000000 0.000000
10 7.6840 865.443251 0.004578 1.30900002 127.997772 22.357540 127.901695 0.000000 0.000000
11 8.3120 865.451563 0.004578 1.30900002 127.997742 22.357540 127.901711 0.000000 0.000000
12 8.5071 865.460071 0.004578 1.30900002 127.997704 22.357540 127.901733 0.000000 0.000000
13 8.3150 865.468386 0.004578 1.30900002 127.997665 22.357538 127.901756 0.000000 0.000000
14 8.3065 865.476692 0.004578 1.30900002 127.997643 22.357536 127.901787 0.000000 0.000000
15 8.4130 865.485105 0.004578 1.30900002 127.997612 22.357536 127.901810 0.000000 0.000000
16 8.1285 865.493234 0.004578 1.30900002 127.997589 22.357536 127.901825 0.000000 0.000000
17 8.3739 865.501607 0.004578 1.30900002 127.997551 22.357533 127.901855 0.000000 0.000000
18 8.2563 865.509864 0.004578 1.30900002 127.997528 22.357533 127.901878 0.000000 0.000000
19 8.3164 865.518180 0.004578 1.30900002 127.997498 22.357533 127.901901 0.000000 0.000000
20 8.3570 865.526537 0.004578 1.30900002 127.997467 22.357531 127.901917 0.000000 0.000000
21 8.4040 865.534941 0.004578 1.30900002 127.997429 22.357529 127.901947 0.000000 0.000000
22 8.2530 865.543194 0.004578 1.30900002 127.997398 22.357527 127.901962 0.000000 0.000000
