# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
0 40.2389 864.040239 0.000000 1.30900013 128.008698 22.549629 127.887939 0.074054 0.000000
1 133.5575 864.173796 0.000000 1.30900085 128.068741 22.489227 127.747330 0.336558 0.000000
2 150.3842 864.324181 1.759148 1.30900156 128.163208 22.370777 127.627144 0.599565 0.000000
3 99.9840 864.424165 1.793306 1.30900145 128.286469 22.333469 127.538605 0.861314 0.000000
4 115.7818 864.539947 1.794177 1.30900145 128.427689 22.341354 127.487885 1.120334 0.000000
5 302.5523 864.842499 1.794038 1.30900145 128.582001 22.356981 127.474976 1.390152 0.000000
6 160.7827 865.003282 1.794317 1.30900145 128.719498 22.361277 127.491425 1.597889 0.000000
7 115.7251 865.119007 1.794317 1.30900145 128.867340 22.374847 127.492935 1.597868 0.000000
8 154.5010 865.273508 1.794317 1.30900145 129.025085 22.389952 127.490593 1.597845 0.000000
9 4.9901 865.278498 1.794317 1.30900145 129.034042 22.390549 127.490372 1.597843 0.000000
10 16.5732 865.295071 1.794317 1.30900145 129.063812 22.392189 127.489601 1.597839 0.000000
11 2.8718 865.297943 1.794317 1.30900145 129.068970 22.392448 127.489464 1.597838 0.000000
12 5.4646 865.303407 1.794317 1.30900145 129.078781 22.392832 127.489197 1.597837 0.000000
13 8.3267 865.311734 1.794317 1.30900145 129.093735 22.393314 127.488777 1.597835 0.000000
14 8.5563 865.320290 1.794317 1.30900145 129.109100 22.393688 127.488342 1.597832 0.000000
15 8.3192 865.328610 1.794317 1.30900145 129.124054 22.393894 127.487915 1.597830 0.000000
16 8.1587 865.336768 1.794317 1.30900145 129.138702 22.393978 127.487480 1.597828 0.000000
17 8.2925 865.345061 1.794317 1.30900145 129.153595 22.393904 127.487053 1.597826 0.000000
18 8.3854 865.353446 1.794317 1.30900145 129.168655 22.393719 127.486610 1.597823 0.000000
19 8.6041 865.362050 1.794317 1.30900145 129.184128 22.393370 127.486168 1.597821 0.000000
20 8.0243 865.370075 1.794317 1.30900145 129.198532 22.392942 127.485764 1.597819 0.000000
21 8.6335 865.378708 1.794317 1.30900145 129.214050 22.392338 127.485329 1.597817 0.000000
22 8.0313 865.386739 1.794317 1.30900145 129.228470 22.391691 127.484940 1.597815 0.000000
23 8.3369 865.395076 1.794317 1.30900145 129.243439 22.390896 127.484543 1.597812 0.000000
24 8.2868 865.403363 1.794317 1.30900145 129.258331 22.390039 127.484161 1.597810 0.000000
25 8.3201 865.411683 1.794317 1.30900145 129.273270 22.389080 127.483810 1.597808 0.000000
26 8.6365 865.420320 1.794317 1.30900145 129.288788 22.388031 127.483459 1.597806 0.000000
