# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
0 42.7387 864.042739 0.000000 1.31219351 128.014069 22.548813 127.844254 0.081908 0.000000
1 761.6757 864.804414 0.000000 1.31686246 128.158234 22.488811 127.355339 0.328028 0.000000
2 145.3127 864.949727 5.987913 1.35606110 128.491287 22.374716 126.847923 0.627461 0.000000
3 100.0293 865.049756 5.986022 1.36965799 128.897751 22.345102 126.523445 0.889353 0.000000
4 115.4379 865.165194 5.988150 1.37459612 129.361099 22.357645 126.325668 1.147292 0.000000
5 307.8294 865.473024 5.984507 1.33944917 129.806259 22.385967 126.249878 1.381329 0.000000
6 157.5391 865.630563 5.988173 1.38052881 130.352417 22.430904 126.286255 1.660613 0.000000
7 114.7759 865.745339 5.981931 1.37404597 130.842896 22.448421 126.317322 1.668049 0.000000
8 146.1775 865.891516 4.432538 1.35245943 131.285034 22.773376 126.290634 1.671014 0.000000
9 5.5064 865.897023 4.432538 1.38170385 131.309631 22.783964 126.290810 1.671042 0.000000
10 8.2875 865.905310 5.280806 1.33717203 131.351166 22.796144 126.291092 1.671137 0.000000
11 8.6187 865.913929 5.280806 1.38289773 131.396973 22.806622 126.291374 1.671265 0.000000
12 8.0698 865.921999 5.619212 1.33740556 131.441650 22.812798 126.291565 1.671419 0.000000
13 8.3415 865.930340 5.619212 1.38184464 131.488770 22.817253 126.291740 1.671596 0.000000
14 8.3946 865.938735 5.893277 1.33800805 131.537582 22.819916 126.293610 1.671799 0.000000
15 8.2598 865.946995 5.893277 1.38236690 131.586365 22.821541 126.296379 1.672013 0.000000
16 8.3808 865.955375 6.000113 1.33813298 131.636337 22.814371 126.300369 1.672149 0.000000
17 8.5734 865.963949 6.000113 1.38459897 131.687714 22.801992 126.305138 1.672242 0.000000
18 8.0740 865.972023 6.000113 1.33827806 131.736084 22.787207 126.309799 1.672271 0.000000
19 8.3200 865.980343 6.000113 1.38375878 131.785889 22.770334 126.314682 1.672271 0.000000
20 8.3343 865.988677 6.000113 1.33844638 131.835754 22.763660 126.319756 1.672271 0.000000
21 8.3580 865.997035 6.000113 1.38450360 131.885757 22.762703 126.324936 1.672271 0.000000
22 8.5818 866.005617 6.000113 1.34018564 131.937073 22.701775 126.330460 1.672271 0.000000
23 8.1634 866.013780 6.000113 1.38551188 131.985886 22.613710 126.335815 1.672271 0.000000
24 8.2922 866.022072 6.000113 1.33922768 132.035431 22.542202 126.341431 1.672271 0.000000
25 8.5699 866.030642 6.000113 1.38714886 132.086609 22.478199 126.347336 1.672271 0.000000
26 8.0547 866.038697 5.980008 1.33918381 132.134598 22.461388 126.353104 1.672271 0.000000
27 8.2907 866.046988 5.980008 1.38584018 132.183914 22.466465 126.359146 1.672271 0.000000
