# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
0 40.0569 864.040057 0.000000 1.30900002 128.000000 22.549688 127.900009 0.000000 0.000000
1 134.1971 864.174254 0.000000 1.30900002 128.000000 22.488705 127.900002 0.000000 0.000000
2 143.6136 864.317868 0.028025 1.30900002 127.999977 22.373528 127.900024 0.000000 0.000000
3 97.3314 864.415199 0.004578 1.30900002 127.999336 22.321960 127.900513 0.000000 0.000000
4 116.8671 864.532066 0.004578 1.30900002 127.999031 22.339184 127.900742 0.000000 0.000000
5 303.9194 864.835986 0.004578 1.30900002 127.998764 22.356840 127.900940 0.000000 0.000000
6 161.7157 864.997701 0.004578 1.30900002 127.998428 22.357567 127.901199 0.000000 0.000000
7 114.2236 865.111925 0.004578 1.30900002 127.998123 22.357555 127.901428 0.000000 0.000000
8 157.4403 865.269365 0.004578 1.30900002 127.997849 22.357544 127.901627 0.000000 0.000000
9 2.8981 865.272263 0.004578 1.30900002 127.997849 22.357546 127.901634 0.000000 0.000000
10 5.1806 865.277444 0.004578 1.30900002 127.997826 22.357544 127.901642 0.000000 0.000000
11 8.0675 865.285511 0.004578 1.30900002 127.997795 22.357542 127.901665 0.000000 0.000000
12 8.3022 865.293814 0.004578 1.30900002 127.997765 22.357540 127.901695 0.000000 0.000000
13 8.3592 865.302173 0.004578 1.30900002 127.997734 22.357540 127.901718 0.000000 0.000000
14 8.5132 865.310686 0.004578 1.30900002 127.997704 22.357540 127.901741 0.000000 0.000000
15 8.1145 865.318801 0.004578 1.30900002 127.997673 22.357538 127.901764 0.000000 0.000000
16 8.3133 865.327114 0.004578 1.30900002 127.997635 22.357536 127.901779 0.000000 0.000000
17 8.3530 865.335467 0.004578 1.30900002 127.997612 22.357536 127.901810 0.000000 0.000000
18 8.3296 865.343796 0.004578 1.30900002 127.997581 22.357536 127.901833 0.000000 0.000000
19 8.5919 865.352388 0.004578 1.30900002 127.997543 22.357534 127.901855 0.000000 0.000000
20 8.0543 865.360443 0.004578 1.30900002 127.997513 22.357533 127.901871 0.000000 0.000000
21 8.3421 865.368785 0.004578 1.30900002 127.997498 22.357533 127.901901 0.000000 0.000000
22 8.6051 865.377390 0.004578 1.30900002 127.997459 22.357531 127.901932 0.000000 0.000000
23 8.0489 865.385439 0.004578 1.30900002 127.997429 22.357529 127.901947 0.000000 0.000000
24 8.6010 865.394040 0.004578 1.30900002 127.997398 22.357529 127.901962 0.000000 0.000000
25 8.1296 865.402169 0.004578 1.30900002 127.997375 22.357529 127.901993 0.000000 0.000000
26 8.2910 865.410460 0.004578 1.30900002 127.997337 22.357525 127.902016 0.000000 0.000000
27 8.5718 865.419032 0.004578 1.30900002 127.997314 22.357525 127.902039 0.000000 0.000000
28 8.1102 865.427142 0.004578 1.30900002 127.997276 22.357525 127.902061 0.000000 0.000000
29 8.5857 865.435728 0.004578 1.30900002 127.997246 22.357523 127.902084 0.000000 0.000000
30 8.0728 865.443801 0.004578 1.30900002 127.997215 22.357521 127.902107 0.000000 0.000000
31 8.3122 865.452113 0.004578 1.30900002 127.997185 22.357519 127.902122 0.000000 0.000000
32 8.5735 865.460686 0.004578 1.30900002 127.997154 22.357519 127.902153 0.000000 0.000000
33 8.1315 865.468818 0.004578 1.30900002 127.997131 22.357517 127.902176 0.000000 0.000000
34 8.3313 865.477149 0.004578 1.30900002 127.997086 22.357517 127.902199 0.000000 0.000000
35 8.3277 865.485477 0.004578 1.30900002 127.997063 22.357515 127.902222 0.000000 0.000000
36 8.7347 865.494211 0.004578 1.30900002 127.997025 22.357513 127.902237 0.000000 0.000000
37 7.9047 865.502116 0.004578 1.30900002 127.997009 22.357513 127.902267 0.000000 0.000000
38 8.7853 865.510901 0.004578 1.30900002 127.996964 22.357512 127.902283 0.000000 0.000000
39 8.1345 865.519036 0.004578 1.30900002 127.996941 22.357513 127.902313 0.000000 0.000000
40 8.0808 865.527117 0.004578 1.30900002 127.996910 22.357510 127.902328 0.000000 0.000000
41 8.3882 865.535505 0.004578 1.30900002 127.996880 22.357510 127.902359 0.000000 0.000000
42 8.5310 865.544036 0.004578 1.30900002 127.996849 22.357508 127.902382 0.000000 0.000000
43 8.1868 865.552223 0.004578 1.30900002 127.996811 22.357504 127.902397 0.000000 0.000000
44 8.2327 865.560455 0.004578 1.30900002 127.996788 22.357506 127.902420 0.000000 0.000000
45 8.7279 865.569183 0.004578 1.30900002 127.996758 22.357504 127.902458 0.000000 0.000000
46 8.2223 865.577405 0.004578 1.30900002 127.996727 22.357502 127.902473 0.000000 0.000000
47 8.1036 865.585509 0.004578 1.30900002 127.996696 22.357502 127.902496 0.000000 0.000000
48 8.5124 865.594021 0.004578 1.30900002 127.996666 22.357500 127.902527 0.000000 0.000000
49 8.1229 865.602144 0.004578 1.30900002 127.996643 22.357500 127.902542 0.000000 0.000000
50 8.5297 865.610674 0.004578 1.30900002 127.996605 22.357498 127.902557 0.000000 0.000000
51 8.1114 865.618785 0.004578 1.30900002 127.996567 22.357496 127.902580 0.000000 0.000000
52 8.5927 865.627378 0.004578 1.30900002 127.996544 22.357496 127.902603 0.000000 0.000000
53 8.1416 865.635520 0.004578 1.30900002 127.996521 22.357494 127.902634 0.000000 0.000000
54 8.2443 865.643764 0.004578 1.30900002 127.996490 22.357494 127.902649 0.000000 0.000000
55 8.5792 865.652343 0.004578 1.30900002 127.996452 22.357494 127.902679 0.000000 0.000000
56 8.1568 865.660500 0.004578 1.30900002 127.996429 22.357491 127.902702 0.000000 0.000000
57 8.5886 865.669089 0.004578 1.30900002 127.996399 22.357491 127.902725 0.000000 0.000000
58 8.2863 865.677375 0.004578 1.30900002 127.996368 22.357489 127.902740 0.000000 0.000000
59 8.1906 865.685565 0.004578 1.30900002 127.996330 22.357491 127.902771 0.000000 0.000000
60 8.2915 865.693857 0.004578 1.30900002 127.996300 22.357487 127.902786 0.000000 0.000000
61 8.3279 865.702185 0.004578 1.30900002 127.996262 22.357485 127.902809 0.000000 0.000000
62 8.2757 865.710461 0.004578 1.30900002 127.996246 22.357483 127.902832 0.000000 0.000000
63 8.3447 865.718805 0.004578 1.30900002 127.996216 22.357483 127.902863 0.000000 0.000000
64 8.3790 865.727184 0.004578 1.30900002 127.996178 22.357483 127.902885 0.000000 0.000000
65 8.5700 865.735754 0.004578 1.30900002 127.996147 22.357481 127.902908 0.000000 0.000000
66 8.0511 865.743805 0.004578 1.30900002 127.996109 22.357479 127.902924 0.000000 0.000000
67 8.3262 865.752131 0.004578 1.30900002 127.996086 22.357479 127.902954 0.000000 0.000000
68 8.3457 865.760477 0.004578 1.30900002 127.996056 22.357479 127.902977 0.000000 0.000000
69 8.5743 865.769051 0.004578 1.30900002 127.996025 22.357477 127.903000 0.000000 0.000000
70 8.4189 865.777470 0.004578 1.30900002 127.995995 22.357475 127.903023 0.000000 0.000000
71 8.0123 865.785483 0.004578 1.30900002 127.995964 22.357475 127.903046 0.000000 0.000000
72 8.2898 865.793772 0.004578 1.30900002 127.995926 22.357473 127.903076 0.000000 0.000000
73 8.6152 865.802388 0.004578 1.30900002 127.995911 22.357471 127.903091 0.000000 0.000000
74 8.1102 865.810498 0.004578 1.30900002 127.995865 22.357470 127.903107 0.000000 0.000000
75 8.2878 865.818786 0.004578 1.30900002 127.995842 22.357470 127.903137 0.000000 0.000000
76 8.5659 865.827352 0.004578 1.30900002 127.995811 22.357468 127.903160 0.000000 0.000000
77 8.1224 865.835474 0.004578 1.30900002 127.995773 22.357468 127.903175 0.000000 0.000000
