# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
0 45.9454 864.045945 0.000000 1.30900037 128.011566 22.547764 127.877876 0.091982 0.000000
1 135.8316 864.181777 0.000000 1.30900085 128.076263 22.480095 127.734756 0.361630 0.000000
2 154.2729 864.336050 1.759148 1.30900013 128.157013 22.373322 127.633125 0.584493 0.000000
3 101.0917 864.437142 1.793306 1.30900037 128.280457 22.334368 127.541702 0.849722 0.000000
4 121.6666 864.558808 1.794177 1.30900085 128.431595 22.341908 127.487061 1.127230 0.000000
5 323.5853 864.882394 1.794038 1.30900121 128.593796 22.357183 127.475456 1.410765 0.000000
6 163.9775 865.046371 1.794317 1.30900109 128.737000 22.362467 127.491821 1.597886 0.000000
7 120.4478 865.166819 1.794317 1.30900002 128.863419 22.374418 127.492950 1.597868 0.000000
8 154.4290 865.321248 1.794317 1.30900037 129.021027 22.389679 127.490692 1.597845 0.000000
9 4.4781 865.325726 1.794317 1.30900085 129.029053 22.390217 127.490494 1.597844 0.000000
10 16.6469 865.342373 1.794317 1.30900085 129.058960 22.391945 127.489731 1.597840 0.000000
11 2.8109 865.345184 1.794317 1.30900097 129.064011 22.392199 127.489594 1.597839 0.000000
12 5.4408 865.350625 1.794317 1.30900002 129.073792 22.392670 127.489334 1.597838 0.000000
13 8.2910 865.358916 1.794317 1.30900085 129.088684 22.393150 127.488914 1.597835 0.000000
14 8.7747 865.367690 1.794317 1.30900013 129.104446 22.393625 127.488480 1.597833 0.000000
15 8.1371 865.375827 1.794317 1.30900085 129.119049 22.393826 127.488052 1.597831 0.000000
16 8.3188 865.384146 1.794317 1.30900002 129.134003 22.394001 127.487625 1.597829 0.000000
17 8.1785 865.392325 1.794317 1.30900085 129.148682 22.393929 127.487198 1.597826 0.000000
18 8.2628 865.400587 1.794317 1.30900002 129.163528 22.393837 127.486763 1.597824 0.000000
19 8.5526 865.409140 1.794317 1.30900085 129.178894 22.393486 127.486313 1.597822 0.000000
20 8.4244 865.417564 1.794317 1.30900002 129.194031 22.393116 127.485886 1.597820 0.000000
21 8.0367 865.425601 1.794317 1.30900085 129.208466 22.392555 127.485489 1.597818 0.000000
22 8.3348 865.433936 1.794317 1.30900002 129.223434 22.391956 127.485069 1.597815 0.000000
